Image,Parent,DAB: Mean
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0151
CaseKI67J_0006.ndpi,Annotation (mantle),0.006
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0059
CaseKI67J_0006.ndpi,Annotation (mantle),-0.013
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0143
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0231
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0092
CaseKI67J_0006.ndpi,Annotation (mantle),0.0025
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0133
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0078
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0137
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0091
CaseKI67J_0006.ndpi,Annotation (mantle),-0.002
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0132
CaseKI67J_0006.ndpi,Annotation (mantle),-0.004
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0141
CaseKI67J_0006.ndpi,Annotation (mantle),0.0098
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0146
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0105
CaseKI67J_0006.ndpi,Annotation (mantle),0.0011
CaseKI67J_0006.ndpi,Annotation (mantle),0.0058
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0172
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0091
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0149
CaseKI67J_0006.ndpi,Annotation (mantle),0.0061
CaseKI67J_0006.ndpi,Annotation (mantle),0.0201
CaseKI67J_0006.ndpi,Annotation (mantle),0.0123
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0061
CaseKI67J_0006.ndpi,Annotation (mantle),-0.016
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0123
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0165
CaseKI67J_0006.ndpi,Annotation (mantle),0.0061
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0116
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0071
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0069
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0163
CaseKI67J_0006.ndpi,Annotation (mantle),-0.022
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0117
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0131
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0099
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0087
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0058
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0086
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0108
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0091
CaseKI67J_0006.ndpi,Annotation (mantle),0
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0012
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0033
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0116
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0052
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0123
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0048
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0051
CaseKI67J_0006.ndpi,Annotation (mantle),0.0049
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0085
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0022
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0023
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0093
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0141
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0048
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0094
CaseKI67J_0006.ndpi,Annotation (mantle),0.0067
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0016
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0047
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0078
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0042
CaseKI67J_0006.ndpi,Annotation (mantle),0.0049
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0048
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0094
CaseKI67J_0006.ndpi,Annotation (mantle),0.0039
CaseKI67J_0006.ndpi,Annotation (mantle),0.0129
CaseKI67J_0006.ndpi,Annotation (mantle),-0.01
CaseKI67J_0006.ndpi,Annotation (mantle),-0.013
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0062
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0067
CaseKI67J_0006.ndpi,Annotation (mantle),0.0028
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0094
CaseKI67J_0006.ndpi,Annotation (mantle),0.0028
CaseKI67J_0006.ndpi,Annotation (mantle),0.0199
CaseKI67J_0006.ndpi,Annotation (mantle),0.0062
CaseKI67J_0006.ndpi,Annotation (mantle),0.0062
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0044
CaseKI67J_0006.ndpi,Annotation (mantle),0.0007
CaseKI67J_0006.ndpi,Annotation (mantle),0.0011
CaseKI67J_0006.ndpi,Annotation (mantle),0.0007
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0052
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0129
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0077
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0031
CaseKI67J_0006.ndpi,Annotation (mantle),0.0014
CaseKI67J_0006.ndpi,Annotation (mantle),-0.007
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0083
CaseKI67J_0006.ndpi,Annotation (mantle),0.0108
CaseKI67J_0006.ndpi,Annotation (mantle),0.0085
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0036
CaseKI67J_0006.ndpi,Annotation (mantle),-0.012
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0108
CaseKI67J_0006.ndpi,Annotation (mantle),0.0084
CaseKI67J_0006.ndpi,Annotation (mantle),0.0098
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0068
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0037
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0018
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0035
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0022
CaseKI67J_0006.ndpi,Annotation (mantle),-0.013
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0063
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0134
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0061
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0072
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0092
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0131
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0179
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0067
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0248
CaseKI67J_0006.ndpi,Annotation (mantle),-0.022
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0077
CaseKI67J_0006.ndpi,Annotation (mantle),0.0061
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0139
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0186
CaseKI67J_0006.ndpi,Annotation (mantle),0.0124
CaseKI67J_0006.ndpi,Annotation (mantle),0.1375
CaseKI67J_0006.ndpi,Annotation (mantle),0.003
CaseKI67J_0006.ndpi,Annotation (mantle),0.0135
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0117
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0209
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0055
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0092
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0069
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0108
CaseKI67J_0006.ndpi,Annotation (mantle),0.0006
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0026
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0035
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0083
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0137
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0074
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0117
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0039
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0053
CaseKI67J_0006.ndpi,Annotation (mantle),0.0022
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0091
CaseKI67J_0006.ndpi,Annotation (mantle),-0.015
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0026
CaseKI67J_0006.ndpi,Annotation (mantle),
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0121
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0029
CaseKI67J_0006.ndpi,Annotation (mantle),0.0014
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0082
CaseKI67J_0006.ndpi,Annotation (mantle),0.0045
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0003
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0096
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0082
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0158
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0147
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0104
CaseKI67J_0006.ndpi,Annotation (mantle),-0.01
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0122
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0171
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0044
CaseKI67J_0006.ndpi,Annotation (mantle),1.3149
CaseKI67J_0006.ndpi,Annotation (mantle),-0.014
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0165
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0087
CaseKI67J_0006.ndpi,Annotation (mantle),0.0029
CaseKI67J_0006.ndpi,Annotation (mantle),-0.016
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0203
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0008
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0096
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0016
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0023
CaseKI67J_0006.ndpi,Annotation (mantle),0.0098
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0248
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0161
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0184
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0037
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0102
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0162
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0101
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0057
CaseKI67J_0006.ndpi,Annotation (mantle),0.0069
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0081
CaseKI67J_0006.ndpi,Annotation (mantle),0.9685
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0024
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0084
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0046
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0154
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0059
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0138
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0116
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0011
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0044
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0006
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0064
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0142
CaseKI67J_0006.ndpi,Annotation (mantle),-0.008
CaseKI67J_0006.ndpi,Annotation (mantle),0.0018
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0122
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0026
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0216
CaseKI67J_0006.ndpi,Annotation (mantle),1.3032
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0211
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0066
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0089
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0114
CaseKI67J_0006.ndpi,Annotation (mantle),0.0009
CaseKI67J_0006.ndpi,Annotation (mantle),0.0075
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0111
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0087
CaseKI67J_0006.ndpi,Annotation (mantle),-0.013
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0172
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0147
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0021
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0139
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0176
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0103
CaseKI67J_0006.ndpi,Annotation (mantle),1.1414
CaseKI67J_0006.ndpi,Annotation (mantle),-0.007
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0038
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0148
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0098
CaseKI67J_0006.ndpi,Annotation (mantle),0.1644
CaseKI67J_0006.ndpi,Annotation (mantle),0.007
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0032
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0007
CaseKI67J_0006.ndpi,Annotation (mantle),0.0045
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0093
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0042
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0071
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0152
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0066
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0077
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0045
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0117
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0034
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0054
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0164
CaseKI67J_0006.ndpi,Annotation (mantle),0.002
CaseKI67J_0006.ndpi,Annotation (mantle),0.0097
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0009
CaseKI67J_0006.ndpi,Annotation (mantle),0.0012
CaseKI67J_0006.ndpi,Annotation (mantle),0.5394
CaseKI67J_0006.ndpi,Annotation (mantle),0.0034
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0107
CaseKI67J_0006.ndpi,Annotation (mantle),-0.003
CaseKI67J_0006.ndpi,Annotation (mantle),0.0084
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0134
CaseKI67J_0006.ndpi,Annotation (mantle),-0.008
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0223
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0085
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0215
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0072
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0053
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0039
CaseKI67J_0006.ndpi,Annotation (mantle),0.0026
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0233
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0202
CaseKI67J_0006.ndpi,Annotation (mantle),-0.016
CaseKI67J_0006.ndpi,Annotation (mantle),-0.003
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0162
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0036
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0124
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0052
CaseKI67J_0006.ndpi,Annotation (mantle),0.037
CaseKI67J_0006.ndpi,Annotation (mantle),0.0107
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0181
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0118
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0237
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0109
CaseKI67J_0006.ndpi,Annotation (mantle),0.0069
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0096
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0016
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0047
CaseKI67J_0006.ndpi,Annotation (mantle),-0.011
CaseKI67J_0006.ndpi,Annotation (mantle),-0.001
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0163
CaseKI67J_0006.ndpi,Annotation (mantle),0.003
CaseKI67J_0006.ndpi,Annotation (mantle),-0.007
CaseKI67J_0006.ndpi,Annotation (mantle),-0.006
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0067
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0026
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0107
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0081
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0108
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0194
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0097
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0072
CaseKI67J_0006.ndpi,Annotation (mantle),-0.0155
