Image,Parent,DAB: Mean
CaseKI67_0073.ndpi,Annotation (mantle),0.3362
CaseKI67_0073.ndpi,Annotation (mantle),0.2176
CaseKI67_0073.ndpi,Annotation (mantle),0.0904
CaseKI67_0073.ndpi,Annotation (mantle),0.0947
CaseKI67_0073.ndpi,Annotation (mantle),1.7117
CaseKI67_0073.ndpi,Annotation (mantle),0.2031
CaseKI67_0073.ndpi,Annotation (mantle),0.1309
CaseKI67_0073.ndpi,Annotation (mantle),0.062
CaseKI67_0073.ndpi,Annotation (mantle),0.0927
CaseKI67_0073.ndpi,Annotation (mantle),0.0644
CaseKI67_0073.ndpi,Annotation (mantle),0.1085
CaseKI67_0073.ndpi,Annotation (mantle),0.3337
CaseKI67_0073.ndpi,Annotation (mantle),0.0794
CaseKI67_0073.ndpi,Annotation (mantle),0.0796
CaseKI67_0073.ndpi,Annotation (mantle),0.0768
CaseKI67_0073.ndpi,Annotation (mantle),0.0835
CaseKI67_0073.ndpi,Annotation (mantle),0.0752
CaseKI67_0073.ndpi,Annotation (mantle),0.8601
CaseKI67_0073.ndpi,Annotation (mantle),0.3744
CaseKI67_0073.ndpi,Annotation (mantle),0.748
CaseKI67_0073.ndpi,Annotation (mantle),0.0877
CaseKI67_0073.ndpi,Annotation (mantle),0.195
CaseKI67_0073.ndpi,Annotation (mantle),0.0788
CaseKI67_0073.ndpi,Annotation (mantle),0.4176
CaseKI67_0073.ndpi,Annotation (mantle),0.0842
CaseKI67_0073.ndpi,Annotation (mantle),0.0743
CaseKI67_0073.ndpi,Annotation (mantle),0.0651
CaseKI67_0073.ndpi,Annotation (mantle),0.0602
CaseKI67_0073.ndpi,Annotation (mantle),0.0971
CaseKI67_0073.ndpi,Annotation (mantle),1.4086
CaseKI67_0073.ndpi,Annotation (mantle),0.0741
CaseKI67_0073.ndpi,Annotation (mantle),0.7649
CaseKI67_0073.ndpi,Annotation (mantle),1.2644
CaseKI67_0073.ndpi,Annotation (mantle),0.1135
CaseKI67_0073.ndpi,Annotation (mantle),0.1406
CaseKI67_0073.ndpi,Annotation (mantle),0.059
CaseKI67_0073.ndpi,Annotation (mantle),0.0776
CaseKI67_0073.ndpi,Annotation (mantle),0.581
CaseKI67_0073.ndpi,Annotation (mantle),0.9864
CaseKI67_0073.ndpi,Annotation (mantle),0.0899
CaseKI67_0073.ndpi,Annotation (mantle),0.0832
CaseKI67_0073.ndpi,Annotation (mantle),0.1317
CaseKI67_0073.ndpi,Annotation (mantle),0.0859
CaseKI67_0073.ndpi,Annotation (mantle),0.0822
CaseKI67_0073.ndpi,Annotation (mantle),0.2613
CaseKI67_0073.ndpi,Annotation (mantle),0.0813
CaseKI67_0073.ndpi,Annotation (mantle),0.1104
CaseKI67_0073.ndpi,Annotation (mantle),0.1278
CaseKI67_0073.ndpi,Annotation (mantle),0.0947
CaseKI67_0073.ndpi,Annotation (mantle),0.2592
CaseKI67_0073.ndpi,Annotation (mantle),0.1215
CaseKI67_0073.ndpi,Annotation (mantle),0.147
CaseKI67_0073.ndpi,Annotation (mantle),0.0818
CaseKI67_0073.ndpi,Annotation (mantle),0.1188
CaseKI67_0073.ndpi,Annotation (mantle),1.1901
CaseKI67_0073.ndpi,Annotation (mantle),0.1386
CaseKI67_0073.ndpi,Annotation (mantle),0.0726
CaseKI67_0073.ndpi,Annotation (mantle),0.0975
CaseKI67_0073.ndpi,Annotation (mantle),0.0802
CaseKI67_0073.ndpi,Annotation (mantle),0.1421
CaseKI67_0073.ndpi,Annotation (mantle),
CaseKI67_0073.ndpi,Annotation (mantle),0.0844
CaseKI67_0073.ndpi,Annotation (mantle),
CaseKI67_0073.ndpi,Annotation (mantle),0.3285
CaseKI67_0073.ndpi,Annotation (mantle),0.0852
CaseKI67_0073.ndpi,Annotation (mantle),0.1002
CaseKI67_0073.ndpi,Annotation (mantle),0.0822
CaseKI67_0073.ndpi,Annotation (mantle),0.3548
CaseKI67_0073.ndpi,Annotation (mantle),1.15
CaseKI67_0073.ndpi,Annotation (mantle),0.2871
CaseKI67_0073.ndpi,Annotation (mantle),0.1103
CaseKI67_0073.ndpi,Annotation (mantle),0.0941
CaseKI67_0073.ndpi,Annotation (mantle),0.1255
CaseKI67_0073.ndpi,Annotation (mantle),0.1282
CaseKI67_0073.ndpi,Annotation (mantle),0.1001
CaseKI67_0073.ndpi,Annotation (mantle),0.1061
CaseKI67_0073.ndpi,Annotation (mantle),0.0946
CaseKI67_0073.ndpi,Annotation (mantle),0.1525
CaseKI67_0073.ndpi,Annotation (mantle),0.1117
CaseKI67_0073.ndpi,Annotation (mantle),0.4853
CaseKI67_0073.ndpi,Annotation (mantle),0.0888
CaseKI67_0073.ndpi,Annotation (mantle),0.1246
CaseKI67_0073.ndpi,Annotation (mantle),0.0764
CaseKI67_0073.ndpi,Annotation (mantle),0.0909
CaseKI67_0073.ndpi,Annotation (mantle),0.1997
CaseKI67_0073.ndpi,Annotation (mantle),0.0998
CaseKI67_0073.ndpi,Annotation (mantle),0.1295
CaseKI67_0073.ndpi,Annotation (mantle),0.1833
CaseKI67_0073.ndpi,Annotation (mantle),0.6841
CaseKI67_0073.ndpi,Annotation (mantle),0.1852
CaseKI67_0073.ndpi,Annotation (mantle),0.073
CaseKI67_0073.ndpi,Annotation (mantle),0.1028
CaseKI67_0073.ndpi,Annotation (mantle),0.0811
CaseKI67_0073.ndpi,Annotation (mantle),0.1311
CaseKI67_0073.ndpi,Annotation (mantle),0.2397
CaseKI67_0073.ndpi,Annotation (mantle),0.0708
CaseKI67_0073.ndpi,Annotation (mantle),0.095
CaseKI67_0073.ndpi,Annotation (mantle),0.108
CaseKI67_0073.ndpi,Annotation (mantle),0.0835
CaseKI67_0073.ndpi,Annotation (mantle),0.0753
CaseKI67_0073.ndpi,Annotation (mantle),0.3162
CaseKI67_0073.ndpi,Annotation (mantle),0.1032
CaseKI67_0073.ndpi,Annotation (mantle),0.1969
CaseKI67_0073.ndpi,Annotation (mantle),0.0988
CaseKI67_0073.ndpi,Annotation (mantle),0.1185
CaseKI67_0073.ndpi,Annotation (mantle),0.71
CaseKI67_0073.ndpi,Annotation (mantle),0.121
CaseKI67_0073.ndpi,Annotation (mantle),0.5949
CaseKI67_0073.ndpi,Annotation (mantle),0.1112
CaseKI67_0073.ndpi,Annotation (mantle),0.0923
CaseKI67_0073.ndpi,Annotation (mantle),0.0827
CaseKI67_0073.ndpi,Annotation (mantle),0.1285
CaseKI67_0073.ndpi,Annotation (mantle),0.1112
CaseKI67_0073.ndpi,Annotation (mantle),0.1459
CaseKI67_0073.ndpi,Annotation (mantle),0.0688
CaseKI67_0073.ndpi,Annotation (mantle),0.0809
CaseKI67_0073.ndpi,Annotation (mantle),0.0732
CaseKI67_0073.ndpi,Annotation (mantle),0.0927
CaseKI67_0073.ndpi,Annotation (mantle),0.0827
CaseKI67_0073.ndpi,Annotation (mantle),0.087
CaseKI67_0073.ndpi,Annotation (mantle),0.119
CaseKI67_0073.ndpi,Annotation (mantle),0.0818
CaseKI67_0073.ndpi,Annotation (mantle),0.1209
CaseKI67_0073.ndpi,Annotation (mantle),0.0924
CaseKI67_0073.ndpi,Annotation (mantle),0.3859
CaseKI67_0073.ndpi,Annotation (mantle),0.2854
CaseKI67_0073.ndpi,Annotation (mantle),0.1565
CaseKI67_0073.ndpi,Annotation (mantle),0.0577
CaseKI67_0073.ndpi,Annotation (mantle),0.0659
CaseKI67_0073.ndpi,Annotation (mantle),0.5776
CaseKI67_0073.ndpi,Annotation (mantle),0.0759
CaseKI67_0073.ndpi,Annotation (mantle),1.317
CaseKI67_0073.ndpi,Annotation (mantle),0.0826
CaseKI67_0073.ndpi,Annotation (mantle),0.0722
CaseKI67_0073.ndpi,Annotation (mantle),0.0908
CaseKI67_0073.ndpi,Annotation (mantle),0.1036
CaseKI67_0073.ndpi,Annotation (mantle),0.1605
CaseKI67_0073.ndpi,Annotation (mantle),0.3824
CaseKI67_0073.ndpi,Annotation (mantle),0.0939
CaseKI67_0073.ndpi,Annotation (mantle),0.0735
CaseKI67_0073.ndpi,Annotation (mantle),0.0803
CaseKI67_0073.ndpi,Annotation (mantle),0.0935
CaseKI67_0073.ndpi,Annotation (mantle),0.0907
CaseKI67_0073.ndpi,Annotation (mantle),0.0915
CaseKI67_0073.ndpi,Annotation (mantle),0.0846
CaseKI67_0073.ndpi,Annotation (mantle),0.1033
CaseKI67_0073.ndpi,Annotation (mantle),0.1515
CaseKI67_0073.ndpi,Annotation (mantle),0.0646
CaseKI67_0073.ndpi,Annotation (mantle),0.3364
CaseKI67_0073.ndpi,Annotation (mantle),0.0708
CaseKI67_0073.ndpi,Annotation (mantle),0.0969
CaseKI67_0073.ndpi,Annotation (mantle),0.0755
CaseKI67_0073.ndpi,Annotation (mantle),0.1844
CaseKI67_0073.ndpi,Annotation (mantle),0.0852
CaseKI67_0073.ndpi,Annotation (mantle),0.5062
CaseKI67_0073.ndpi,Annotation (mantle),0.1031
CaseKI67_0073.ndpi,Annotation (mantle),0.0723
CaseKI67_0073.ndpi,Annotation (mantle),1.0357
CaseKI67_0073.ndpi,Annotation (mantle),0.09
CaseKI67_0073.ndpi,Annotation (mantle),1.4486
CaseKI67_0073.ndpi,Annotation (mantle),0.0756
CaseKI67_0073.ndpi,Annotation (mantle),0.06
CaseKI67_0073.ndpi,Annotation (mantle),0.2636
CaseKI67_0073.ndpi,Annotation (mantle),0.0854
CaseKI67_0073.ndpi,Annotation (mantle),0.0909
CaseKI67_0073.ndpi,Annotation (mantle),0.0842
CaseKI67_0073.ndpi,Annotation (mantle),0.0817
CaseKI67_0073.ndpi,Annotation (mantle),0.3143
CaseKI67_0073.ndpi,Annotation (mantle),0.0912
CaseKI67_0073.ndpi,Annotation (mantle),0.0696
CaseKI67_0073.ndpi,Annotation (mantle),0.1016
CaseKI67_0073.ndpi,Annotation (mantle),0.1263
CaseKI67_0073.ndpi,Annotation (mantle),0.1059
CaseKI67_0073.ndpi,Annotation (mantle),0.0798
CaseKI67_0073.ndpi,Annotation (mantle),0.0684
CaseKI67_0073.ndpi,Annotation (mantle),0.0873
CaseKI67_0073.ndpi,Annotation (mantle),0.0882
CaseKI67_0073.ndpi,Annotation (mantle),0.0759
CaseKI67_0073.ndpi,Annotation (mantle),0.2862
CaseKI67_0073.ndpi,Annotation (mantle),0.1061
CaseKI67_0073.ndpi,Annotation (mantle),0.956
CaseKI67_0073.ndpi,Annotation (mantle),0.0757
CaseKI67_0073.ndpi,Annotation (mantle),0.156
CaseKI67_0073.ndpi,Annotation (mantle),0.0662
CaseKI67_0073.ndpi,Annotation (mantle),0.1975
CaseKI67_0073.ndpi,Annotation (mantle),0.1424
CaseKI67_0073.ndpi,Annotation (mantle),
CaseKI67_0073.ndpi,Annotation (mantle),0.1802
CaseKI67_0073.ndpi,Annotation (mantle),0.0637
CaseKI67_0073.ndpi,Annotation (mantle),0.1967
CaseKI67_0073.ndpi,Annotation (mantle),0.0874
CaseKI67_0073.ndpi,Annotation (mantle),0.1598
CaseKI67_0073.ndpi,Annotation (mantle),0.0838
CaseKI67_0073.ndpi,Annotation (mantle),0.1071
CaseKI67_0073.ndpi,Annotation (mantle),0.0853
CaseKI67_0073.ndpi,Annotation (mantle),0.1038
CaseKI67_0073.ndpi,Annotation (mantle),0.0665
CaseKI67_0073.ndpi,Annotation (mantle),0.1067
CaseKI67_0073.ndpi,Annotation (mantle),0.1006
CaseKI67_0073.ndpi,Annotation (mantle),0.0861
CaseKI67_0073.ndpi,Annotation (mantle),0.1006
CaseKI67_0073.ndpi,Annotation (mantle),0.0776
CaseKI67_0073.ndpi,Annotation (mantle),0.1175
CaseKI67_0073.ndpi,Annotation (mantle),0.1304
CaseKI67_0073.ndpi,Annotation (mantle),0.2011
CaseKI67_0073.ndpi,Annotation (mantle),0.1105
CaseKI67_0073.ndpi,Annotation (mantle),0.5507
CaseKI67_0073.ndpi,Annotation (mantle),0.0771
CaseKI67_0073.ndpi,Annotation (mantle),0.1053
CaseKI67_0073.ndpi,Annotation (mantle),0.1168
CaseKI67_0073.ndpi,Annotation (mantle),0.2689
CaseKI67_0073.ndpi,Annotation (mantle),0.1375
CaseKI67_0073.ndpi,Annotation (mantle),0.1317
CaseKI67_0073.ndpi,Annotation (mantle),0.0874
CaseKI67_0073.ndpi,Annotation (mantle),0.086
CaseKI67_0073.ndpi,Annotation (mantle),0.0786
CaseKI67_0073.ndpi,Annotation (mantle),0.2729
CaseKI67_0073.ndpi,Annotation (mantle),0.093
CaseKI67_0073.ndpi,Annotation (mantle),0.124
CaseKI67_0073.ndpi,Annotation (mantle),0.1829
CaseKI67_0073.ndpi,Annotation (mantle),0.0685
CaseKI67_0073.ndpi,Annotation (mantle),0.1344
CaseKI67_0073.ndpi,Annotation (mantle),0.118
CaseKI67_0073.ndpi,Annotation (mantle),0.1477
CaseKI67_0073.ndpi,Annotation (mantle),0.0849
CaseKI67_0073.ndpi,Annotation (mantle),0.0728
CaseKI67_0073.ndpi,Annotation (mantle),0.0846
CaseKI67_0073.ndpi,Annotation (mantle),0.0956
CaseKI67_0073.ndpi,Annotation (mantle),0.1034
CaseKI67_0073.ndpi,Annotation (mantle),0.0829
CaseKI67_0073.ndpi,Annotation (mantle),0.0772
CaseKI67_0073.ndpi,Annotation (mantle),0.1194
CaseKI67_0073.ndpi,Annotation (mantle),0.1857
CaseKI67_0073.ndpi,Annotation (mantle),0.1368
CaseKI67_0073.ndpi,Annotation (mantle),0.0964
CaseKI67_0073.ndpi,Annotation (mantle),0.2374
CaseKI67_0073.ndpi,Annotation (mantle),0.1664
CaseKI67_0073.ndpi,Annotation (mantle),0.1195
CaseKI67_0073.ndpi,Annotation (mantle),0.0915
CaseKI67_0073.ndpi,Annotation (mantle),0.2304
CaseKI67_0073.ndpi,Annotation (mantle),1.1038
CaseKI67_0073.ndpi,Annotation (mantle),0.0929
CaseKI67_0073.ndpi,Annotation (mantle),0.09
CaseKI67_0073.ndpi,Annotation (mantle),0.0894
CaseKI67_0073.ndpi,Annotation (mantle),0.0843
CaseKI67_0073.ndpi,Annotation (mantle),0.0596
CaseKI67_0073.ndpi,Annotation (mantle),0.1893
CaseKI67_0073.ndpi,Annotation (mantle),0.1365
CaseKI67_0073.ndpi,Annotation (mantle),0.2282
CaseKI67_0073.ndpi,Annotation (mantle),0.0736
CaseKI67_0073.ndpi,Annotation (mantle),0.4515
CaseKI67_0073.ndpi,Annotation (mantle),0.1087
CaseKI67_0073.ndpi,Annotation (mantle),0.1263
CaseKI67_0073.ndpi,Annotation (mantle),0.1091
CaseKI67_0073.ndpi,Annotation (mantle),0.1554
CaseKI67_0073.ndpi,Annotation (mantle),0.0812
CaseKI67_0073.ndpi,Annotation (mantle),0.1407
CaseKI67_0073.ndpi,Annotation (mantle),0.0641
CaseKI67_0073.ndpi,Annotation (mantle),0.1839
