Slide, Region, Positive, Count, Positivity
CaseKI67_0007,germinal_center,35996,44177,0.8148131381
CaseKI67_0007,light_zone,12070,16663,0.7243593591
CaseKI67_0007,dark_zone,16835,18024,0.9340324012
CaseKI67_0007,mantle,4155,39506,0.1051738976
CaseKI67_0017,germinal_center,189282,219001,0.8642974233
CaseKI67_0017,light_zone,54211,68440,0.7920952659
CaseKI67_0017,dark_zone,128608,137073,0.9382445850
CaseKI67_0017,mantle,29780,181930,0.1636893311
CaseKI67_0018,germinal_center,74637,87801,0.8500700448
CaseKI67_0018,light_zone,37407,46764,0.7999101873
CaseKI67_0018,dark_zone,23346,24858,0.9391745112
CaseKI67_0018,mantle,8790,51642,0.1702102939
CaseKI67_0026,germinal_center,27101,36093,0.7508658189
CaseKI67_0026,light_zone,14106,20025,0.7044194757
CaseKI67_0026,dark_zone,9035,10009,0.9026875812
CaseKI67_0026,mantle,3720,35804,0.1038990057
CaseKI67_0027,germinal_center,21494,26870,0.7999255675
CaseKI67_0027,light_zone,9399,12820,0.7331513261
CaseKI67_0027,dark_zone,8213,9022,0.9103303037
CaseKI67_0027,mantle,3227,27051,0.1192931869
CaseKI67_0033,germinal_center,5287,5762,0.9175633461
CaseKI67_0033,light_zone,0,0,0
CaseKI67_0033,dark_zone,5005,5390,0.9285714286
CaseKI67_0033,mantle,2387,13259,0.1800286598
CaseKI67_0038,germinal_center,23379,25573,0.9142063896
CaseKI67_0038,light_zone,4773,5301,0.9003961517
CaseKI67_0038,dark_zone,13819,14593,0.9469608717
CaseKI67_0038,mantle,5297,19807,0.2674307063
CaseKI67_0039,germinal_center,47527,52705,0.9017550517
CaseKI67_0039,light_zone,4011,5471,0.7331383659
CaseKI67_0039,dark_zone,34238,36257,0.9443142014
CaseKI67_0039,mantle,11575,49381,0.2344018955
CaseKI67_0041,germinal_center,13590,15200,0.8940789474
CaseKI67_0041,light_zone,2992,3815,0.7842726081
CaseKI67_0041,dark_zone,7928,8238,0.9623695072
CaseKI67_0041,mantle,8948,28249,0.3167545754
CaseKI67_0042,germinal_center,9393,9750,0.9633846154
CaseKI67_0042,light_zone,0,0,0
CaseKI67_0042,dark_zone,8799,9059,0.9712992604
CaseKI67_0042,mantle,6385,15226,0.4193484829
CaseKI67_0043,germinal_center,62386,75326,0.8282133659
CaseKI67_0043,light_zone,27387,36349,0.7534457619
CaseKI67_0043,dark_zone,21731,23406,0.9284371529
CaseKI67_0043,mantle,7017,55405,0.1266492194
CaseKI67_0044,germinal_center,44895,51465,0.8723404255
CaseKI67_0044,light_zone,18421,22976,0.8017496518
CaseKI67_0044,dark_zone,16327,16912,0.9654091769
CaseKI67_0044,mantle,4035,29594,0.1363452051
CaseKI67_0045,germinal_center,65241,76326,0.8547677069
CaseKI67_0045,light_zone,25556,32199,0.7936892450
CaseKI67_0045,dark_zone,22516,23969,0.9393800325
CaseKI67_0045,mantle,7555,54899,0.1376163500
CaseKI67_0046,germinal_center,67532,77789,0.8681433108
CaseKI67_0046,light_zone,32841,40381,0.8132785221
CaseKI67_0046,dark_zone,29996,31641,0.9480104927
CaseKI67_0046,mantle,7738,55083,0.1404789136
CaseKI67_0047,germinal_center,72354,83800,0.8634128878
CaseKI67_0047,light_zone,31499,39004,0.8075838376
CaseKI67_0047,dark_zone,24646,26026,0.9469761008
CaseKI67_0047,mantle,10597,65558,0.1616431252
CaseKI67_0048,germinal_center,73825,86279,0.8556543307
CaseKI67_0048,light_zone,28180,36003,0.7827125517
CaseKI67_0048,dark_zone,26358,28005,0.9411890734
CaseKI67_0048,mantle,8208,61776,0.1328671329
CaseKI67_0049,germinal_center,68392,78922,0.8665771268
CaseKI67_0049,light_zone,28780,35890,0.8018946782
CaseKI67_0049,dark_zone,23998,25366,0.9460695419
CaseKI67_0049,mantle,8313,59320,0.1401382333
CaseKI67_0050,germinal_center,45338,52868,0.8575697965
CaseKI67_0050,light_zone,19488,24703,0.7888920374
CaseKI67_0050,dark_zone,21554,22790,0.9457656867
CaseKI67_0050,mantle,5377,43172,0.1245483184
CaseKI67_0051,germinal_center,33561,39220,0.8557113717
CaseKI67_0051,light_zone,7851,10830,0.7249307479
CaseKI67_0051,dark_zone,17987,19442,0.9251620204
CaseKI67_0051,mantle,4225,31144,0.1356601593
CaseKI67_0052,germinal_center,33160,38703,0.8567811281
CaseKI67_0052,light_zone,9142,11852,0.7713466082
CaseKI67_0052,dark_zone,18257,19565,0.9331459238
CaseKI67_0052,mantle,4140,30274,0.1367510075
CaseKI67_0053,germinal_center,45825,60325,0.7596353087
CaseKI67_0053,light_zone,18123,26111,0.6940752939
CaseKI67_0053,dark_zone,15332,16790,0.9131625968
CaseKI67_0053,mantle,5285,39900,0.1324561404
CaseKI67_0054,germinal_center,27113,32241,0.8409478614
CaseKI67_0054,light_zone,7660,10142,0.7552750937
CaseKI67_0054,dark_zone,16325,17708,0.9218997063
CaseKI67_0054,mantle,0,0,0
CaseKI67_0056,germinal_center,38362,46941,0.8172386613
CaseKI67_0056,light_zone,17944,23933,0.7497597460
CaseKI67_0056,dark_zone,16982,18139,0.9362147858
CaseKI67_0056,mantle,5119,41292,0.1239707449
CaseKI67_0057,germinal_center,29945,33157,0.9031275447
CaseKI67_0057,light_zone,6750,8322,0.8111031002
CaseKI67_0057,dark_zone,20233,21382,0.9462632120
CaseKI67_0057,mantle,2877,14236,0.2020932846
CaseKI67_0058,germinal_center,78675,92338,0.8520327492
CaseKI67_0058,light_zone,31122,39736,0.7832192470
CaseKI67_0058,dark_zone,36250,38889,0.9321401939
CaseKI67_0058,mantle,6872,55899,0.1229360096
CaseKI67_0059,germinal_center,71315,87570,0.8143770698
CaseKI67_0059,light_zone,36242,48478,0.7475968481
CaseKI67_0059,dark_zone,25503,27355,0.9322975690
CaseKI67_0059,mantle,10586,83012,0.1275237315
CaseKI67_0060,germinal_center,22344,26195,0.8529872113
CaseKI67_0060,light_zone,3869,4959,0.7801976205
CaseKI67_0060,dark_zone,11362,12466,0.9114391144
CaseKI67_0060,mantle,3846,36090,0.1065669160
CaseKI67_0061,germinal_center,52562,60595,0.8674313062
CaseKI67_0061,light_zone,16144,20158,0.8008731025
CaseKI67_0061,dark_zone,24324,25894,0.9393681934
CaseKI67_0061,mantle,5385,34691,0.1552275806
CaseKI67_0062,germinal_center,10565,12546,0.8421010681
CaseKI67_0062,light_zone,6689,8271,0.8087292951
CaseKI67_0062,dark_zone,2589,2741,0.9445457862
CaseKI67_0062,mantle,1904,10296,0.1849261849
CaseKI67_0063,germinal_center,30366,37569,0.8082727781
CaseKI67_0063,light_zone,9962,13822,0.7207350600
CaseKI67_0063,dark_zone,15033,16696,0.9003953043
CaseKI67_0063,mantle,3352,20594,0.1627658541
CaseKI67_0065,germinal_center,65400,76370,0.8563572083
CaseKI67_0065,light_zone,24717,31314,0.7893274574
CaseKI67_0065,dark_zone,27108,28949,0.9364054026
CaseKI67_0065,mantle,5154,38000,0.1356315789
CaseKI67_0066,germinal_center,68162,78236,0.8712357482
CaseKI67_0066,light_zone,24701,30900,0.7993851133
CaseKI67_0066,dark_zone,34701,36925,0.9397698037
