Image,Parent,DAB: Mean
CaseKI67J_0014.ndpi,Annotation (mantle),-0.0038
CaseKI67J_0014.ndpi,Annotation (mantle),0.0146
CaseKI67J_0014.ndpi,Annotation (mantle),-0.0019
CaseKI67J_0014.ndpi,Annotation (mantle),0.0287
CaseKI67J_0014.ndpi,Annotation (mantle),-0.0072
CaseKI67J_0014.ndpi,Annotation (mantle),-0.0002
CaseKI67J_0014.ndpi,Annotation (mantle),1.2541
CaseKI67J_0014.ndpi,Annotation (mantle),0.0274
CaseKI67J_0014.ndpi,Annotation (mantle),0.0159
CaseKI67J_0014.ndpi,Annotation (mantle),0.0151
CaseKI67J_0014.ndpi,Annotation (mantle),0.0073
CaseKI67J_0014.ndpi,Annotation (mantle),0.0134
CaseKI67J_0014.ndpi,Annotation (mantle),0.0238
CaseKI67J_0014.ndpi,Annotation (mantle),0.015
CaseKI67J_0014.ndpi,Annotation (mantle),0.0003
CaseKI67J_0014.ndpi,Annotation (mantle),0.0283
CaseKI67J_0014.ndpi,Annotation (mantle),0.0087
CaseKI67J_0014.ndpi,Annotation (mantle),0.0102
CaseKI67J_0014.ndpi,Annotation (mantle),0.0184
CaseKI67J_0014.ndpi,Annotation (mantle),0.0129
CaseKI67J_0014.ndpi,Annotation (mantle),0.0183
CaseKI67J_0014.ndpi,Annotation (mantle),0.0459
CaseKI67J_0014.ndpi,Annotation (mantle),1.5358
CaseKI67J_0014.ndpi,Annotation (mantle),0.0116
CaseKI67J_0014.ndpi,Annotation (mantle),0.0263
CaseKI67J_0014.ndpi,Annotation (mantle),0.0071
CaseKI67J_0014.ndpi,Annotation (mantle),0.002
CaseKI67J_0014.ndpi,Annotation (mantle),0.0016
CaseKI67J_0014.ndpi,Annotation (mantle),0.0112
CaseKI67J_0014.ndpi,Annotation (mantle),0.0075
CaseKI67J_0014.ndpi,Annotation (mantle),0.2333
CaseKI67J_0014.ndpi,Annotation (mantle),0.0098
CaseKI67J_0014.ndpi,Annotation (mantle),0.0124
CaseKI67J_0014.ndpi,Annotation (mantle),0.0082
CaseKI67J_0014.ndpi,Annotation (mantle),0.0056
CaseKI67J_0014.ndpi,Annotation (mantle),0.0108
CaseKI67J_0014.ndpi,Annotation (mantle),0.4245
CaseKI67J_0014.ndpi,Annotation (mantle),0.0089
CaseKI67J_0014.ndpi,Annotation (mantle),0.0075
CaseKI67J_0014.ndpi,Annotation (mantle),1.0369
CaseKI67J_0014.ndpi,Annotation (mantle),0.0052
CaseKI67J_0014.ndpi,Annotation (mantle),0.0132
CaseKI67J_0014.ndpi,Annotation (mantle),0.0038
CaseKI67J_0014.ndpi,Annotation (mantle),0.0141
CaseKI67J_0014.ndpi,Annotation (mantle),0.0025
CaseKI67J_0014.ndpi,Annotation (mantle),0.0142
CaseKI67J_0014.ndpi,Annotation (mantle),0.0028
CaseKI67J_0014.ndpi,Annotation (mantle),0.0249
CaseKI67J_0014.ndpi,Annotation (mantle),0.0048
CaseKI67J_0014.ndpi,Annotation (mantle),0.0144
CaseKI67J_0014.ndpi,Annotation (mantle),0.0117
CaseKI67J_0014.ndpi,Annotation (mantle),0.0195
CaseKI67J_0014.ndpi,Annotation (mantle),0.0105
CaseKI67J_0014.ndpi,Annotation (mantle),0.0186
CaseKI67J_0014.ndpi,Annotation (mantle),0.006
CaseKI67J_0014.ndpi,Annotation (mantle),0.0091
CaseKI67J_0014.ndpi,Annotation (mantle),0.0229
CaseKI67J_0014.ndpi,Annotation (mantle),0.0249
CaseKI67J_0014.ndpi,Annotation (mantle),0.0165
CaseKI67J_0014.ndpi,Annotation (mantle),0.0158
CaseKI67J_0014.ndpi,Annotation (mantle),0.0057
CaseKI67J_0014.ndpi,Annotation (mantle),0.0008
CaseKI67J_0014.ndpi,Annotation (mantle),0.0149
CaseKI67J_0014.ndpi,Annotation (mantle),0.0044
CaseKI67J_0014.ndpi,Annotation (mantle),0.0119
CaseKI67J_0014.ndpi,Annotation (mantle),0.0066
CaseKI67J_0014.ndpi,Annotation (mantle),0.0099
CaseKI67J_0014.ndpi,Annotation (mantle),0.0137
CaseKI67J_0014.ndpi,Annotation (mantle),0.0237
CaseKI67J_0014.ndpi,Annotation (mantle),0.0049
CaseKI67J_0014.ndpi,Annotation (mantle),0.0008
CaseKI67J_0014.ndpi,Annotation (mantle),1.09
CaseKI67J_0014.ndpi,Annotation (mantle),0.0193
CaseKI67J_0014.ndpi,Annotation (mantle),-0.0014
CaseKI67J_0014.ndpi,Annotation (mantle),0.005
CaseKI67J_0014.ndpi,Annotation (mantle),0.0013
CaseKI67J_0014.ndpi,Annotation (mantle),0.0043
CaseKI67J_0014.ndpi,Annotation (mantle),0.0228
CaseKI67J_0014.ndpi,Annotation (mantle),0.0079
CaseKI67J_0014.ndpi,Annotation (mantle),0.0057
CaseKI67J_0014.ndpi,Annotation (mantle),-0.0018
CaseKI67J_0014.ndpi,Annotation (mantle),-0.0002
CaseKI67J_0014.ndpi,Annotation (mantle),-0.0016
CaseKI67J_0014.ndpi,Annotation (mantle),0.0221
CaseKI67J_0014.ndpi,Annotation (mantle),0.0106
CaseKI67J_0014.ndpi,Annotation (mantle),0.0084
CaseKI67J_0014.ndpi,Annotation (mantle),0.0118
CaseKI67J_0014.ndpi,Annotation (mantle),0.0132
CaseKI67J_0014.ndpi,Annotation (mantle),0.0139
CaseKI67J_0014.ndpi,Annotation (mantle),0.012
CaseKI67J_0014.ndpi,Annotation (mantle),0.0124
CaseKI67J_0014.ndpi,Annotation (mantle),0.0065
CaseKI67J_0014.ndpi,Annotation (mantle),0.0207
CaseKI67J_0014.ndpi,Annotation (mantle),0.0187
CaseKI67J_0014.ndpi,Annotation (mantle),0.0175
CaseKI67J_0014.ndpi,Annotation (mantle),0.0163
CaseKI67J_0014.ndpi,Annotation (mantle),0.0084
CaseKI67J_0014.ndpi,Annotation (mantle),0.0075
CaseKI67J_0014.ndpi,Annotation (mantle),0.0145
CaseKI67J_0014.ndpi,Annotation (mantle),0.0258
CaseKI67J_0014.ndpi,Annotation (mantle),0.9196
CaseKI67J_0014.ndpi,Annotation (mantle),0.1172
CaseKI67J_0014.ndpi,Annotation (mantle),0.0132
CaseKI67J_0014.ndpi,Annotation (mantle),0.0124
CaseKI67J_0014.ndpi,Annotation (mantle),0.0372
CaseKI67J_0014.ndpi,Annotation (mantle),0.0078
CaseKI67J_0014.ndpi,Annotation (mantle),0.0224
CaseKI67J_0014.ndpi,Annotation (mantle),0.0032
CaseKI67J_0014.ndpi,Annotation (mantle),1.1454
CaseKI67J_0014.ndpi,Annotation (mantle),0.0189
CaseKI67J_0014.ndpi,Annotation (mantle),0.0151
CaseKI67J_0014.ndpi,Annotation (mantle),0.0157
CaseKI67J_0014.ndpi,Annotation (mantle),0.0206
CaseKI67J_0014.ndpi,Annotation (mantle),0.4046
CaseKI67J_0014.ndpi,Annotation (mantle),0.0206
CaseKI67J_0014.ndpi,Annotation (mantle),0.0176
CaseKI67J_0014.ndpi,Annotation (mantle),0.021
CaseKI67J_0014.ndpi,Annotation (mantle),0.0145
CaseKI67J_0014.ndpi,Annotation (mantle),0.0165
CaseKI67J_0014.ndpi,Annotation (mantle),0.0549
CaseKI67J_0014.ndpi,Annotation (mantle),0.0261
CaseKI67J_0014.ndpi,Annotation (mantle),0.0083
CaseKI67J_0014.ndpi,Annotation (mantle),0.016
CaseKI67J_0014.ndpi,Annotation (mantle),0.3361
CaseKI67J_0014.ndpi,Annotation (mantle),0.0015
CaseKI67J_0014.ndpi,Annotation (mantle),0.8089
CaseKI67J_0014.ndpi,Annotation (mantle),0.0158
CaseKI67J_0014.ndpi,Annotation (mantle),0.0199
CaseKI67J_0014.ndpi,Annotation (mantle),0.0132
CaseKI67J_0014.ndpi,Annotation (mantle),0.0199
CaseKI67J_0014.ndpi,Annotation (mantle),0.0227
CaseKI67J_0014.ndpi,Annotation (mantle),0.0207
CaseKI67J_0014.ndpi,Annotation (mantle),0.0157
CaseKI67J_0014.ndpi,Annotation (mantle),0.0204
CaseKI67J_0014.ndpi,Annotation (mantle),0.0653
CaseKI67J_0014.ndpi,Annotation (mantle),0.0158
CaseKI67J_0014.ndpi,Annotation (mantle),0.0146
