Slide, Region, Positive, Count, Positivity
CaseKI67_0001,germinal_center,31309,38030,0.8232711018
CaseKI67_0001,light_zone,19980,25254,0.7911617962
CaseKI67_0001,dark_zone,8135,8690,0.9361334868
CaseKI67_0001,mantle,10810,58262,0.1855411761
CaseKI67_0002,germinal_center,63505,74645,0.8507602653
CaseKI67_0002,light_zone,32016,40062,0.7991613000
CaseKI67_0002,dark_zone,25508,27271,0.9353525723
CaseKI67_0002,mantle,10060,67194,0.1497157484
CaseKI67_0003,germinal_center,12554,15823,0.7934020097
CaseKI67_0003,light_zone,2917,4302,0.6780567178
CaseKI67_0003,dark_zone,7364,8300,0.8872289157
CaseKI67_0003,mantle,4961,21021,0.2360020931
CaseKI67_0004,germinal_center,72124,81151,0.8887629234
CaseKI67_0004,light_zone,26642,31572,0.8438489801
CaseKI67_0004,dark_zone,36790,39261,0.9370622246
CaseKI67_0004,mantle,12129,65094,0.1863305374
CaseKI67_0005,germinal_center,46009,55790,0.8246818426
CaseKI67_0005,light_zone,22462,29704,0.7561944519
CaseKI67_0005,dark_zone,19720,20922,0.9425485135
CaseKI67_0005,mantle,4654,39102,0.1190220449
CaseKI67_0006,germinal_center,23730,26023,0.9118856396
CaseKI67_0006,light_zone,3677,4601,0.7991740926
CaseKI67_0006,dark_zone,18733,19769,0.9475947190
CaseKI67_0006,mantle,5951,27064,0.2198861957
CaseKI67_0007,germinal_center,38751,47269,0.8197973302
CaseKI67_0007,light_zone,9056,12757,0.7098847691
CaseKI67_0007,dark_zone,22056,24064,0.9165558511
CaseKI67_0007,mantle,4153,33111,0.1254265954
CaseKI67_0008,germinal_center,28957,39241,0.7379271680
CaseKI67_0008,light_zone,14270,21269,0.6709295218
CaseKI67_0008,dark_zone,9450,10468,0.9027512419
CaseKI67_0008,mantle,6707,48739,0.1376105378
CaseKI67_0009,germinal_center,62219,67631,0.9199775251
CaseKI67_0009,light_zone,14008,16388,0.8547717842
CaseKI67_0009,dark_zone,32349,33740,0.9587729698
CaseKI67_0009,mantle,10711,32202,0.3326190920
CaseKI67_0010,germinal_center,98233,108759,0.9032172050
CaseKI67_0010,light_zone,35066,41167,0.8517987709
CaseKI67_0010,dark_zone,47939,49823,0.9621861389
CaseKI67_0010,mantle,20948,88935,0.2355428122
CaseKI67_0011,germinal_center,84392,100964,0.8358622875
CaseKI67_0011,light_zone,35903,46578,0.7708145476
CaseKI67_0011,dark_zone,37466,40201,0.9319668665
CaseKI67_0011,mantle,15761,95105,0.1657220966
