Image,Parent,DAB: Mean
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.022
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0244
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0374
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0214
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.3008
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0209
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0422
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0464
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.0686
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.0331
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0264
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.5409
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.1782
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0165
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0654
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.1348
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0146
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.2465
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0201
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0561
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0267
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.3332
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.0141
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.1803
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.3076
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.2561
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0285
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.0496
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.2952
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.2566
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.0024
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.0772
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.9387
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0291
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.9934
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.1491
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.9503
CaseKI67J_0010.ndpi,Annotation (germinal_center),
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.4456
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.483
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.2131
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.2764
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0536
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.3068
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0353
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.9986
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.5207
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.0688
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.2754
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.6007
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.1438
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.5249
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.0495
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.0255
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.3409
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.2831
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.3472
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.4039
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.7942
CaseKI67J_0010.ndpi,Annotation (germinal_center),1.0709
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.1217
CaseKI67J_0010.ndpi,Annotation (germinal_center),0.9499
