Image,Parent,DAB: Mean
CaseKI67_0022.ndpi,Annotation (germinal_center),1.1216
CaseKI67_0022.ndpi,Annotation (germinal_center),0.097
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0668
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0311
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0962
CaseKI67_0022.ndpi,Annotation (germinal_center),1.0568
CaseKI67_0022.ndpi,Annotation (germinal_center),0.9256
CaseKI67_0022.ndpi,Annotation (germinal_center),1.2897
CaseKI67_0022.ndpi,Annotation (germinal_center),1.2897
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0388
CaseKI67_0022.ndpi,Annotation (germinal_center),1.5182
CaseKI67_0022.ndpi,Annotation (germinal_center),1.0206
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0479
CaseKI67_0022.ndpi,Annotation (germinal_center),0.011
CaseKI67_0022.ndpi,Annotation (germinal_center),1.5079
CaseKI67_0022.ndpi,Annotation (germinal_center),1.2332
CaseKI67_0022.ndpi,Annotation (germinal_center),1.1896
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0812
CaseKI67_0022.ndpi,Annotation (germinal_center),0.5682
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0334
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0456
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0242
CaseKI67_0022.ndpi,Annotation (germinal_center),1.2234
CaseKI67_0022.ndpi,Annotation (germinal_center),0.1482
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0287
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0294
CaseKI67_0022.ndpi,Annotation (germinal_center),0.3588
CaseKI67_0022.ndpi,Annotation (germinal_center),0.8031
CaseKI67_0022.ndpi,Annotation (germinal_center),1.3337
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0411
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0196
CaseKI67_0022.ndpi,Annotation (germinal_center),1.4032
CaseKI67_0022.ndpi,Annotation (germinal_center),1.1915
CaseKI67_0022.ndpi,Annotation (germinal_center),1.2477
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0275
CaseKI67_0022.ndpi,Annotation (germinal_center),1.2723
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0388
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0346
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0189
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0418
CaseKI67_0022.ndpi,Annotation (germinal_center),0.607
CaseKI67_0022.ndpi,Annotation (germinal_center),0.7136
CaseKI67_0022.ndpi,Annotation (germinal_center),1.3223
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0823
CaseKI67_0022.ndpi,Annotation (germinal_center),0.6545
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0507
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0236
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0452
CaseKI67_0022.ndpi,Annotation (germinal_center),0.812
CaseKI67_0022.ndpi,Annotation (germinal_center),1.1781
CaseKI67_0022.ndpi,Annotation (germinal_center),0.491
CaseKI67_0022.ndpi,Annotation (germinal_center),0.2564
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0078
CaseKI67_0022.ndpi,Annotation (germinal_center),1.2284
CaseKI67_0022.ndpi,Annotation (germinal_center),0.1334
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0195
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0234
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0213
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0292
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0073
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0288
CaseKI67_0022.ndpi,Annotation (germinal_center),0.0349
