Slide, Region, Positive, Count, Positivity
CaseKI67_0001,germinal_center,30581,39138,0.7813633809
CaseKI67_0001,light_zone,21103,28166,0.7492366683
CaseKI67_0001,dark_zone,5760,6233,0.9241135890
CaseKI67_0001,mantle,7200,54804,0.1313772717
CaseKI67_0002,germinal_center,60268,73538,0.8195490767
CaseKI67_0002,light_zone,33660,43803,0.7684405178
CaseKI67_0002,dark_zone,18466,19727,0.9360774573
CaseKI67_0002,mantle,6475,57517,0.1125754125
CaseKI67_0003,germinal_center,15548,19531,0.7960677897
CaseKI67_0003,light_zone,4638,6512,0.7122235872
CaseKI67_0003,dark_zone,5430,5929,0.9158374093
CaseKI67_0003,mantle,1652,18301,0.0902682914
CaseKI67_0004,germinal_center,68412,78843,0.8676990982
CaseKI67_0004,light_zone,29312,36099,0.8119892518
CaseKI67_0004,dark_zone,29111,30878,0.9427747911
CaseKI67_0004,mantle,7175,49742,0.1442443006
CaseKI67_0005,germinal_center,43663,53248,0.8199932392
CaseKI67_0005,light_zone,20969,27873,0.7523050981
CaseKI67_0005,dark_zone,17069,18091,0.9435078216
CaseKI67_0005,mantle,5919,50016,0.1183421305
CaseKI67_0006,germinal_center,30797,40777,0.7552541874
CaseKI67_0006,light_zone,8345,14412,0.5790313628
CaseKI67_0006,dark_zone,16538,17487,0.9457311145
CaseKI67_0006,mantle,6344,38581,0.1644332703
CaseKI67_0007,germinal_center,36263,44570,0.8136190263
CaseKI67_0007,light_zone,12158,16774,0.7248122094
CaseKI67_0007,dark_zone,16790,18002,0.9326741473
CaseKI67_0007,mantle,3406,33727,0.1009873395
CaseKI67_0008,germinal_center,41128,59381,0.6926121150
CaseKI67_0008,light_zone,16920,27729,0.6101914963
CaseKI67_0008,dark_zone,17136,20162,0.8499156830
CaseKI67_0008,mantle,3326,37223,0.0893533568
CaseKI67_0009,germinal_center,60148,67310,0.8935967910
CaseKI67_0009,light_zone,3754,5024,0.7472133758
CaseKI67_0009,dark_zone,50451,54736,0.9217151418
CaseKI67_0009,mantle,8897,44089,0.2017963664
CaseKI67_0010,germinal_center,103944,120386,0.8634226571
CaseKI67_0010,light_zone,28420,35230,0.8066988362
CaseKI67_0010,dark_zone,52481,57148,0.9183348499
CaseKI67_0010,mantle,12087,82772,0.1460276422
CaseKI67_0011,germinal_center,95669,117701,0.8128138249
CaseKI67_0011,light_zone,34483,47609,0.7242958264
CaseKI67_0011,dark_zone,37642,41374,0.9097984241
CaseKI67_0011,mantle,14245,108810,0.1309162761
CaseKI67_0012,germinal_center,74845,88319,0.8474393958
CaseKI67_0012,light_zone,37760,47613,0.7930607187
CaseKI67_0012,dark_zone,29441,31842,0.9245964449
CaseKI67_0012,mantle,5611,45083,0.1244593306
CaseKI67_0013,germinal_center,28197,30666,0.9194873802
CaseKI67_0013,light_zone,2604,3212,0.8107098381
CaseKI67_0013,dark_zone,17545,18534,0.9466386101
CaseKI67_0013,mantle,4755,42484,0.1119244892
CaseKI67_0014,germinal_center,88435,97882,0.9034858299
CaseKI67_0014,light_zone,36880,42698,0.8637406904
CaseKI67_0014,dark_zone,42777,45189,0.9466241785
CaseKI67_0014,mantle,11831,54512,0.2170347813
CaseKI67_0015,germinal_center,20252,26919,0.7523310673
CaseKI67_0015,light_zone,10143,14585,0.6954405211
CaseKI67_0015,dark_zone,6597,7496,0.8800693703
CaseKI67_0015,mantle,2961,25476,0.1162270372
CaseKI67_0016,germinal_center,59845,72149,0.8294640258
CaseKI67_0016,light_zone,16848,23722,0.7102267937
CaseKI67_0016,dark_zone,29492,31571,0.9341484274
CaseKI67_0016,mantle,7384,65185,0.1132775945
CaseKI67_0017,germinal_center,78354,97086,0.8070576602
CaseKI67_0017,light_zone,31278,42674,0.7329521488
CaseKI67_0017,dark_zone,29945,32562,0.9196302438
CaseKI67_0017,mantle,9397,69641,0.1349348803
CaseKI67_0018,germinal_center,74813,88012,0.8500318138
CaseKI67_0018,light_zone,37413,46782,0.7997306656
CaseKI67_0018,dark_zone,23377,24892,0.9391370722
CaseKI67_0018,mantle,8788,51662,0.1701056870
CaseKI67_0019,germinal_center,19994,26172,0.7639462020
CaseKI67_0019,light_zone,8581,12390,0.6925746570
CaseKI67_0019,dark_zone,7316,8151,0.8975585818
CaseKI67_0019,mantle,2367,26014,0.0909894672
CaseKI67_0020,germinal_center,41919,51664,0.8113773614
CaseKI67_0020,light_zone,11754,16888,0.6959971577
CaseKI67_0020,dark_zone,23292,25252,0.9223823856
CaseKI67_0020,mantle,4922,39642,0.1241612431
CaseKI67_0021,germinal_center,19111,22975,0.8318171926
CaseKI67_0021,light_zone,5406,7286,0.7419709031
CaseKI67_0021,dark_zone,10418,11332,0.9193434522
CaseKI67_0021,mantle,1981,19464,0.1017776408
CaseKI67_0022,germinal_center,4387,5916,0.7415483435
CaseKI67_0022,light_zone,2819,3937,0.7160274321
CaseKI67_0022,dark_zone,965,1028,0.9387159533
CaseKI67_0022,mantle,1807,16732,0.1079966531
CaseKI67_0023,germinal_center,24053,31663,0.7596563813
CaseKI67_0023,light_zone,9652,14201,0.6796704457
CaseKI67_0023,dark_zone,8981,10067,0.8921227774
CaseKI67_0023,mantle,4633,29249,0.1583985777
CaseKI67_0024,germinal_center,13951,18510,0.7537007023
CaseKI67_0024,light_zone,7118,10046,0.7085407127
CaseKI67_0024,dark_zone,4174,4555,0.9163556531
CaseKI67_0024,mantle,1430,13501,0.1059180801
CaseKI67_0025,germinal_center,8504,10923,0.7785406939
CaseKI67_0025,light_zone,5282,7081,0.7459398390
CaseKI67_0025,dark_zone,2147,2413,0.8897637795
CaseKI67_0025,mantle,1061,9255,0.1146407347
CaseKI67_0026,germinal_center,27858,37144,0.75
CaseKI67_0026,light_zone,14451,20544,0.7034170561
CaseKI67_0026,dark_zone,9281,10285,0.9023821099
CaseKI67_0026,mantle,3704,35828,0.1033828291
CaseKI67_0027,germinal_center,21974,27508,0.7988221608
CaseKI67_0027,light_zone,9401,12820,0.7333073323
CaseKI67_0027,dark_zone,8799,9714,0.9058060531
CaseKI67_0027,mantle,3232,27061,0.1194338716
CaseKI67_0028,germinal_center,7558,8100,0.9330864198
CaseKI67_0028,light_zone,912,1131,0.8063660477
CaseKI67_0028,dark_zone,5294,5469,0.9680014628
CaseKI67_0028,mantle,1137,9206,0.1235064089
CaseKI67_0029,germinal_center,7931,10675,0.7429508197
CaseKI67_0029,light_zone,5000,6535,0.7651109411
CaseKI67_0029,dark_zone,1433,1667,0.8596280744
CaseKI67_0029,mantle,1631,12763,0.1277912716
CaseKI67_0030,germinal_center,20559,45353,0.4533106961
CaseKI67_0030,light_zone,3320,6206,0.5349661618
CaseKI67_0030,dark_zone,8102,9547,0.8486435529
CaseKI67_0030,mantle,3174,88345,0.0359273304
CaseKI67_0031,germinal_center,21491,24326,0.8834580284
CaseKI67_0031,light_zone,4206,5647,0.7448202585
CaseKI67_0031,dark_zone,14031,14533,0.9654579233
CaseKI67_0031,mantle,2902,7560,0.3838624339
CaseKI67_0032,germinal_center,10540,11656,0.9042553191
CaseKI67_0032,light_zone,5600,6513,0.8598188239
CaseKI67_0032,dark_zone,2600,2620,0.9923664122
CaseKI67_0032,mantle,1494,2691,0.5551839465
CaseKI67_0033,germinal_center,6589,7418,0.8882448099
CaseKI67_0033,light_zone,493,694,0.7103746398
CaseKI67_0033,dark_zone,5771,6171,0.9351806838
