Image,Parent,DAB: Mean
CaseKI67J_0025.ndpi,Annotation (mantle),0.0366
CaseKI67J_0025.ndpi,Annotation (mantle),0.0132
CaseKI67J_0025.ndpi,Annotation (mantle),0.0151
CaseKI67J_0025.ndpi,Annotation (mantle),0.0071
CaseKI67J_0025.ndpi,Annotation (mantle),0.041
CaseKI67J_0025.ndpi,Annotation (mantle),1.485
CaseKI67J_0025.ndpi,Annotation (mantle),0.0095
CaseKI67J_0025.ndpi,Annotation (mantle),0.0225
CaseKI67J_0025.ndpi,Annotation (mantle),0.0187
CaseKI67J_0025.ndpi,Annotation (mantle),0.0116
CaseKI67J_0025.ndpi,Annotation (mantle),0.0106
CaseKI67J_0025.ndpi,Annotation (mantle),0.001
CaseKI67J_0025.ndpi,Annotation (mantle),0.0114
CaseKI67J_0025.ndpi,Annotation (mantle),0.2768
CaseKI67J_0025.ndpi,Annotation (mantle),0.0341
CaseKI67J_0025.ndpi,Annotation (mantle),0.0139
CaseKI67J_0025.ndpi,Annotation (mantle),0.0082
CaseKI67J_0025.ndpi,Annotation (mantle),0.0046
CaseKI67J_0025.ndpi,Annotation (mantle),-0
CaseKI67J_0025.ndpi,Annotation (mantle),1.4595
CaseKI67J_0025.ndpi,Annotation (mantle),0.0128
CaseKI67J_0025.ndpi,Annotation (mantle),0.0299
CaseKI67J_0025.ndpi,Annotation (mantle),0.0221
CaseKI67J_0025.ndpi,Annotation (mantle),0.0067
CaseKI67J_0025.ndpi,Annotation (mantle),0.5273
CaseKI67J_0025.ndpi,Annotation (mantle),0.0096
CaseKI67J_0025.ndpi,Annotation (mantle),1.2606
CaseKI67J_0025.ndpi,Annotation (mantle),0.022
CaseKI67J_0025.ndpi,Annotation (mantle),0.0229
CaseKI67J_0025.ndpi,Annotation (mantle),1.3441
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0081
CaseKI67J_0025.ndpi,Annotation (mantle),1.6589
CaseKI67J_0025.ndpi,Annotation (mantle),0.0083
CaseKI67J_0025.ndpi,Annotation (mantle),1.6253
CaseKI67J_0025.ndpi,Annotation (mantle),0.0288
CaseKI67J_0025.ndpi,Annotation (mantle),0.0085
CaseKI67J_0025.ndpi,Annotation (mantle),
CaseKI67J_0025.ndpi,Annotation (mantle),0.0211
CaseKI67J_0025.ndpi,Annotation (mantle),0.0332
CaseKI67J_0025.ndpi,Annotation (mantle),1.4013
CaseKI67J_0025.ndpi,Annotation (mantle),0.0141
CaseKI67J_0025.ndpi,Annotation (mantle),0.4649
CaseKI67J_0025.ndpi,Annotation (mantle),0.0141
CaseKI67J_0025.ndpi,Annotation (mantle),0.0505
CaseKI67J_0025.ndpi,Annotation (mantle),0.0146
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0009
CaseKI67J_0025.ndpi,Annotation (mantle),0.0073
CaseKI67J_0025.ndpi,Annotation (mantle),0.0051
CaseKI67J_0025.ndpi,Annotation (mantle),0.0403
CaseKI67J_0025.ndpi,Annotation (mantle),0.0031
CaseKI67J_0025.ndpi,Annotation (mantle),0.0068
CaseKI67J_0025.ndpi,Annotation (mantle),0.0024
CaseKI67J_0025.ndpi,Annotation (mantle),0.0116
CaseKI67J_0025.ndpi,Annotation (mantle),1.8981
CaseKI67J_0025.ndpi,Annotation (mantle),0.0066
CaseKI67J_0025.ndpi,Annotation (mantle),0.0399
CaseKI67J_0025.ndpi,Annotation (mantle),0.005
CaseKI67J_0025.ndpi,Annotation (mantle),0.009
CaseKI67J_0025.ndpi,Annotation (mantle),0.002
CaseKI67J_0025.ndpi,Annotation (mantle),0.0002
CaseKI67J_0025.ndpi,Annotation (mantle),0.0095
CaseKI67J_0025.ndpi,Annotation (mantle),0.0052
CaseKI67J_0025.ndpi,Annotation (mantle),-0.001
CaseKI67J_0025.ndpi,Annotation (mantle),0.0022
CaseKI67J_0025.ndpi,Annotation (mantle),0.0203
CaseKI67J_0025.ndpi,Annotation (mantle),0.0059
CaseKI67J_0025.ndpi,Annotation (mantle),0.0085
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0068
CaseKI67J_0025.ndpi,Annotation (mantle),0.0431
CaseKI67J_0025.ndpi,Annotation (mantle),0.0137
CaseKI67J_0025.ndpi,Annotation (mantle),0.0372
CaseKI67J_0025.ndpi,Annotation (mantle),0.0062
CaseKI67J_0025.ndpi,Annotation (mantle),0.0078
CaseKI67J_0025.ndpi,Annotation (mantle),0.0058
CaseKI67J_0025.ndpi,Annotation (mantle),0.142
CaseKI67J_0025.ndpi,Annotation (mantle),0.0204
CaseKI67J_0025.ndpi,Annotation (mantle),0.0093
CaseKI67J_0025.ndpi,Annotation (mantle),0.0125
CaseKI67J_0025.ndpi,Annotation (mantle),0.0052
CaseKI67J_0025.ndpi,Annotation (mantle),0.0027
CaseKI67J_0025.ndpi,Annotation (mantle),0.0013
CaseKI67J_0025.ndpi,Annotation (mantle),0.0134
CaseKI67J_0025.ndpi,Annotation (mantle),0.2556
CaseKI67J_0025.ndpi,Annotation (mantle),0.0181
CaseKI67J_0025.ndpi,Annotation (mantle),0.0127
CaseKI67J_0025.ndpi,Annotation (mantle),0.0226
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0079
CaseKI67J_0025.ndpi,Annotation (mantle),0.0001
CaseKI67J_0025.ndpi,Annotation (mantle),0.0017
CaseKI67J_0025.ndpi,Annotation (mantle),0.0007
CaseKI67J_0025.ndpi,Annotation (mantle),0.0131
CaseKI67J_0025.ndpi,Annotation (mantle),0.0108
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0002
CaseKI67J_0025.ndpi,Annotation (mantle),0.0167
CaseKI67J_0025.ndpi,Annotation (mantle),0.0063
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0037
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0013
CaseKI67J_0025.ndpi,Annotation (mantle),0.0121
CaseKI67J_0025.ndpi,Annotation (mantle),0.0164
CaseKI67J_0025.ndpi,Annotation (mantle),0.004
CaseKI67J_0025.ndpi,Annotation (mantle),0.0052
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0003
CaseKI67J_0025.ndpi,Annotation (mantle),0.0111
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0003
CaseKI67J_0025.ndpi,Annotation (mantle),0.0054
CaseKI67J_0025.ndpi,Annotation (mantle),0.0293
CaseKI67J_0025.ndpi,Annotation (mantle),0.0542
CaseKI67J_0025.ndpi,Annotation (mantle),0.205
CaseKI67J_0025.ndpi,Annotation (mantle),0.0616
CaseKI67J_0025.ndpi,Annotation (mantle),0.0042
CaseKI67J_0025.ndpi,Annotation (mantle),0.0073
CaseKI67J_0025.ndpi,Annotation (mantle),0.004
CaseKI67J_0025.ndpi,Annotation (mantle),0.0189
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0016
CaseKI67J_0025.ndpi,Annotation (mantle),0.0149
CaseKI67J_0025.ndpi,Annotation (mantle),0.0116
CaseKI67J_0025.ndpi,Annotation (mantle),0.0138
CaseKI67J_0025.ndpi,Annotation (mantle),0.0102
CaseKI67J_0025.ndpi,Annotation (mantle),0.0699
CaseKI67J_0025.ndpi,Annotation (mantle),1.4214
CaseKI67J_0025.ndpi,Annotation (mantle),0.023
CaseKI67J_0025.ndpi,Annotation (mantle),0.0074
CaseKI67J_0025.ndpi,Annotation (mantle),0.4381
CaseKI67J_0025.ndpi,Annotation (mantle),0.0113
CaseKI67J_0025.ndpi,Annotation (mantle),0.0139
CaseKI67J_0025.ndpi,Annotation (mantle),0.0149
CaseKI67J_0025.ndpi,Annotation (mantle),0.0001
CaseKI67J_0025.ndpi,Annotation (mantle),0.0111
CaseKI67J_0025.ndpi,Annotation (mantle),0.0073
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0039
CaseKI67J_0025.ndpi,Annotation (mantle),0.004
CaseKI67J_0025.ndpi,Annotation (mantle),0.0133
CaseKI67J_0025.ndpi,Annotation (mantle),0.0303
CaseKI67J_0025.ndpi,Annotation (mantle),0.0469
CaseKI67J_0025.ndpi,Annotation (mantle),0.2679
CaseKI67J_0025.ndpi,Annotation (mantle),-0.006
CaseKI67J_0025.ndpi,Annotation (mantle),-0.007
CaseKI67J_0025.ndpi,Annotation (mantle),0.0046
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0039
CaseKI67J_0025.ndpi,Annotation (mantle),0.5525
CaseKI67J_0025.ndpi,Annotation (mantle),0.0132
CaseKI67J_0025.ndpi,Annotation (mantle),0.0155
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0042
CaseKI67J_0025.ndpi,Annotation (mantle),
CaseKI67J_0025.ndpi,Annotation (mantle),0.0093
CaseKI67J_0025.ndpi,Annotation (mantle),0.0029
CaseKI67J_0025.ndpi,Annotation (mantle),0.0003
CaseKI67J_0025.ndpi,Annotation (mantle),0.0022
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0024
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0035
CaseKI67J_0025.ndpi,Annotation (mantle),0.0091
CaseKI67J_0025.ndpi,Annotation (mantle),0.0186
CaseKI67J_0025.ndpi,Annotation (mantle),0.0226
CaseKI67J_0025.ndpi,Annotation (mantle),0.0082
CaseKI67J_0025.ndpi,Annotation (mantle),0.0039
CaseKI67J_0025.ndpi,Annotation (mantle),0.0033
CaseKI67J_0025.ndpi,Annotation (mantle),0.0185
CaseKI67J_0025.ndpi,Annotation (mantle),0.0165
CaseKI67J_0025.ndpi,Annotation (mantle),0.0453
CaseKI67J_0025.ndpi,Annotation (mantle),0.0057
CaseKI67J_0025.ndpi,Annotation (mantle),0.0099
CaseKI67J_0025.ndpi,Annotation (mantle),0.0875
CaseKI67J_0025.ndpi,Annotation (mantle),0.0062
CaseKI67J_0025.ndpi,Annotation (mantle),0.0223
CaseKI67J_0025.ndpi,Annotation (mantle),0.0157
CaseKI67J_0025.ndpi,Annotation (mantle),0.0101
CaseKI67J_0025.ndpi,Annotation (mantle),1.2379
CaseKI67J_0025.ndpi,Annotation (mantle),0.0268
CaseKI67J_0025.ndpi,Annotation (mantle),0.0195
CaseKI67J_0025.ndpi,Annotation (mantle),0.0228
CaseKI67J_0025.ndpi,Annotation (mantle),0.0328
CaseKI67J_0025.ndpi,Annotation (mantle),0.0097
CaseKI67J_0025.ndpi,Annotation (mantle),0.0237
CaseKI67J_0025.ndpi,Annotation (mantle),0.0045
CaseKI67J_0025.ndpi,Annotation (mantle),0.0395
CaseKI67J_0025.ndpi,Annotation (mantle),0.0255
CaseKI67J_0025.ndpi,Annotation (mantle),0.0186
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0011
CaseKI67J_0025.ndpi,Annotation (mantle),0.0045
CaseKI67J_0025.ndpi,Annotation (mantle),0.0238
CaseKI67J_0025.ndpi,Annotation (mantle),0.0203
CaseKI67J_0025.ndpi,Annotation (mantle),0.0083
CaseKI67J_0025.ndpi,Annotation (mantle),0.0124
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0122
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0004
CaseKI67J_0025.ndpi,Annotation (mantle),0.0201
CaseKI67J_0025.ndpi,Annotation (mantle),0.6265
CaseKI67J_0025.ndpi,Annotation (mantle),1.5888
CaseKI67J_0025.ndpi,Annotation (mantle),1.6536
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0022
CaseKI67J_0025.ndpi,Annotation (mantle),0.0063
CaseKI67J_0025.ndpi,Annotation (mantle),1.1674
CaseKI67J_0025.ndpi,Annotation (mantle),0.0222
CaseKI67J_0025.ndpi,Annotation (mantle),0.0028
CaseKI67J_0025.ndpi,Annotation (mantle),0.0292
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0066
CaseKI67J_0025.ndpi,Annotation (mantle),0.0643
CaseKI67J_0025.ndpi,Annotation (mantle),0.0057
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0011
CaseKI67J_0025.ndpi,Annotation (mantle),0.0001
CaseKI67J_0025.ndpi,Annotation (mantle),0.1065
CaseKI67J_0025.ndpi,Annotation (mantle),0.0017
CaseKI67J_0025.ndpi,Annotation (mantle),0.021
CaseKI67J_0025.ndpi,Annotation (mantle),0.0162
CaseKI67J_0025.ndpi,Annotation (mantle),0.0197
CaseKI67J_0025.ndpi,Annotation (mantle),0.0056
CaseKI67J_0025.ndpi,Annotation (mantle),0.0856
CaseKI67J_0025.ndpi,Annotation (mantle),0.0237
CaseKI67J_0025.ndpi,Annotation (mantle),0.1082
CaseKI67J_0025.ndpi,Annotation (mantle),0.0154
CaseKI67J_0025.ndpi,Annotation (mantle),0.0468
CaseKI67J_0025.ndpi,Annotation (mantle),0.0608
CaseKI67J_0025.ndpi,Annotation (mantle),0.0162
CaseKI67J_0025.ndpi,Annotation (mantle),0.0182
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0029
CaseKI67J_0025.ndpi,Annotation (mantle),0.0357
CaseKI67J_0025.ndpi,Annotation (mantle),0.0052
CaseKI67J_0025.ndpi,Annotation (mantle),0.0316
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0036
CaseKI67J_0025.ndpi,Annotation (mantle),0.0154
CaseKI67J_0025.ndpi,Annotation (mantle),1.5283
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0016
CaseKI67J_0025.ndpi,Annotation (mantle),
CaseKI67J_0025.ndpi,Annotation (mantle),0.0099
CaseKI67J_0025.ndpi,Annotation (mantle),0.0054
CaseKI67J_0025.ndpi,Annotation (mantle),0.0582
CaseKI67J_0025.ndpi,Annotation (mantle),0.0056
CaseKI67J_0025.ndpi,Annotation (mantle),0.0171
CaseKI67J_0025.ndpi,Annotation (mantle),0.0483
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0071
CaseKI67J_0025.ndpi,Annotation (mantle),0.0644
CaseKI67J_0025.ndpi,Annotation (mantle),0.005
CaseKI67J_0025.ndpi,Annotation (mantle),0.0286
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0033
CaseKI67J_0025.ndpi,Annotation (mantle),0.0118
CaseKI67J_0025.ndpi,Annotation (mantle),0.0045
CaseKI67J_0025.ndpi,Annotation (mantle),0.0105
CaseKI67J_0025.ndpi,Annotation (mantle),0.0235
CaseKI67J_0025.ndpi,Annotation (mantle),0.3552
CaseKI67J_0025.ndpi,Annotation (mantle),0.0264
CaseKI67J_0025.ndpi,Annotation (mantle),0.0042
CaseKI67J_0025.ndpi,Annotation (mantle),0.0122
CaseKI67J_0025.ndpi,Annotation (mantle),0.0156
CaseKI67J_0025.ndpi,Annotation (mantle),-0.005
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0039
CaseKI67J_0025.ndpi,Annotation (mantle),0.0324
CaseKI67J_0025.ndpi,Annotation (mantle),0.0065
CaseKI67J_0025.ndpi,Annotation (mantle),0.0055
CaseKI67J_0025.ndpi,Annotation (mantle),0.6205
CaseKI67J_0025.ndpi,Annotation (mantle),0.0089
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0115
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0066
CaseKI67J_0025.ndpi,Annotation (mantle),0.0051
CaseKI67J_0025.ndpi,Annotation (mantle),0.0556
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0083
CaseKI67J_0025.ndpi,Annotation (mantle),0.0169
CaseKI67J_0025.ndpi,Annotation (mantle),0.0091
CaseKI67J_0025.ndpi,Annotation (mantle),-0.003
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0035
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0002
CaseKI67J_0025.ndpi,Annotation (mantle),0.0053
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0014
CaseKI67J_0025.ndpi,Annotation (mantle),0.0004
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0062
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0083
CaseKI67J_0025.ndpi,Annotation (mantle),0.0089
CaseKI67J_0025.ndpi,Annotation (mantle),0.0063
CaseKI67J_0025.ndpi,Annotation (mantle),0.047
CaseKI67J_0025.ndpi,Annotation (mantle),0.0104
CaseKI67J_0025.ndpi,Annotation (mantle),0.0176
CaseKI67J_0025.ndpi,Annotation (mantle),0.0021
CaseKI67J_0025.ndpi,Annotation (mantle),0.0021
CaseKI67J_0025.ndpi,Annotation (mantle),0.6019
CaseKI67J_0025.ndpi,Annotation (mantle),0.0066
CaseKI67J_0025.ndpi,Annotation (mantle),-0
CaseKI67J_0025.ndpi,Annotation (mantle),0.0089
CaseKI67J_0025.ndpi,Annotation (mantle),0.0032
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0038
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0008
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0019
CaseKI67J_0025.ndpi,Annotation (mantle),0.0048
CaseKI67J_0025.ndpi,Annotation (mantle),-0.008
CaseKI67J_0025.ndpi,Annotation (mantle),0.0161
CaseKI67J_0025.ndpi,Annotation (mantle),0.0139
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0013
CaseKI67J_0025.ndpi,Annotation (mantle),0.0028
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0066
CaseKI67J_0025.ndpi,Annotation (mantle),0.0427
CaseKI67J_0025.ndpi,Annotation (mantle),0.0099
CaseKI67J_0025.ndpi,Annotation (mantle),0.0019
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0042
CaseKI67J_0025.ndpi,Annotation (mantle),-0.0015
CaseKI67J_0025.ndpi,Annotation (mantle),0.0013
CaseKI67J_0025.ndpi,Annotation (mantle),1.5056
CaseKI67J_0025.ndpi,Annotation (mantle),0.0153
