Image,Parent,DAB: Mean
CaseKI67_0028.ndpi,Annotation (mantle),0.5438
CaseKI67_0028.ndpi,Annotation (mantle),0.3035
CaseKI67_0028.ndpi,Annotation (mantle),0.7771
CaseKI67_0028.ndpi,Annotation (mantle),0.3699
CaseKI67_0028.ndpi,Annotation (mantle),0.1449
CaseKI67_0028.ndpi,Annotation (mantle),0.4789
CaseKI67_0028.ndpi,Annotation (mantle),0.46
CaseKI67_0028.ndpi,Annotation (mantle),0.8237
CaseKI67_0028.ndpi,Annotation (mantle),0.1506
CaseKI67_0028.ndpi,Annotation (mantle),0.3825
CaseKI67_0028.ndpi,Annotation (mantle),0.1103
CaseKI67_0028.ndpi,Annotation (mantle),0.1342
CaseKI67_0028.ndpi,Annotation (mantle),0.0786
CaseKI67_0028.ndpi,Annotation (mantle),0.1006
CaseKI67_0028.ndpi,Annotation (mantle),0.0811
CaseKI67_0028.ndpi,Annotation (mantle),0.2379
CaseKI67_0028.ndpi,Annotation (mantle),0.1387
CaseKI67_0028.ndpi,Annotation (mantle),0.1238
CaseKI67_0028.ndpi,Annotation (mantle),0.1471
CaseKI67_0028.ndpi,Annotation (mantle),0.1155
CaseKI67_0028.ndpi,Annotation (mantle),0.1302
CaseKI67_0028.ndpi,Annotation (mantle),0.5549
CaseKI67_0028.ndpi,Annotation (mantle),0.0943
CaseKI67_0028.ndpi,Annotation (mantle),0.1043
CaseKI67_0028.ndpi,Annotation (mantle),0.0725
CaseKI67_0028.ndpi,Annotation (mantle),0.7609
CaseKI67_0028.ndpi,Annotation (mantle),0.0737
CaseKI67_0028.ndpi,Annotation (mantle),0.0733
CaseKI67_0028.ndpi,Annotation (mantle),0.1479
CaseKI67_0028.ndpi,Annotation (mantle),0.1
CaseKI67_0028.ndpi,Annotation (mantle),0.5862
CaseKI67_0028.ndpi,Annotation (mantle),0.1269
CaseKI67_0028.ndpi,Annotation (mantle),0.0983
CaseKI67_0028.ndpi,Annotation (mantle),0.1511
CaseKI67_0028.ndpi,Annotation (mantle),0.2144
CaseKI67_0028.ndpi,Annotation (mantle),0.1818
CaseKI67_0028.ndpi,Annotation (mantle),0.1088
CaseKI67_0028.ndpi,Annotation (mantle),0.1577
CaseKI67_0028.ndpi,Annotation (mantle),0.1032
CaseKI67_0028.ndpi,Annotation (mantle),0.1474
CaseKI67_0028.ndpi,Annotation (mantle),0.1046
CaseKI67_0028.ndpi,Annotation (mantle),0.0981
CaseKI67_0028.ndpi,Annotation (mantle),0.1106
CaseKI67_0028.ndpi,Annotation (mantle),0.1165
CaseKI67_0028.ndpi,Annotation (mantle),0.1268
CaseKI67_0028.ndpi,Annotation (mantle),0.1367
CaseKI67_0028.ndpi,Annotation (mantle),0.0756
CaseKI67_0028.ndpi,Annotation (mantle),0.5221
CaseKI67_0028.ndpi,Annotation (mantle),0.1572
CaseKI67_0028.ndpi,Annotation (mantle),0.131
CaseKI67_0028.ndpi,Annotation (mantle),0.1247
CaseKI67_0028.ndpi,Annotation (mantle),0.0823
CaseKI67_0028.ndpi,Annotation (mantle),0.1028
CaseKI67_0028.ndpi,Annotation (mantle),0.0895
CaseKI67_0028.ndpi,Annotation (mantle),0.208
CaseKI67_0028.ndpi,Annotation (mantle),0.1714
CaseKI67_0028.ndpi,Annotation (mantle),0.0928
CaseKI67_0028.ndpi,Annotation (mantle),0.0751
CaseKI67_0028.ndpi,Annotation (mantle),0.1507
CaseKI67_0028.ndpi,Annotation (mantle),0.4633
CaseKI67_0028.ndpi,Annotation (mantle),0.0646
CaseKI67_0028.ndpi,Annotation (mantle),0.082
CaseKI67_0028.ndpi,Annotation (mantle),0.1133
CaseKI67_0028.ndpi,Annotation (mantle),0.0833
CaseKI67_0028.ndpi,Annotation (mantle),0.1258
CaseKI67_0028.ndpi,Annotation (mantle),0.0802
CaseKI67_0028.ndpi,Annotation (mantle),0.0789
CaseKI67_0028.ndpi,Annotation (mantle),0.087
CaseKI67_0028.ndpi,Annotation (mantle),0.1227
CaseKI67_0028.ndpi,Annotation (mantle),0.1203
CaseKI67_0028.ndpi,Annotation (mantle),0.0749
CaseKI67_0028.ndpi,Annotation (mantle),0.102
CaseKI67_0028.ndpi,Annotation (mantle),0.0927
CaseKI67_0028.ndpi,Annotation (mantle),0.0745
CaseKI67_0028.ndpi,Annotation (mantle),0.0721
CaseKI67_0028.ndpi,Annotation (mantle),0.0765
CaseKI67_0028.ndpi,Annotation (mantle),0.0806
CaseKI67_0028.ndpi,Annotation (mantle),0.0755
CaseKI67_0028.ndpi,Annotation (mantle),0.0639
CaseKI67_0028.ndpi,Annotation (mantle),0.0651
CaseKI67_0028.ndpi,Annotation (mantle),0.1295
CaseKI67_0028.ndpi,Annotation (mantle),0.0759
CaseKI67_0028.ndpi,Annotation (mantle),0.0721
CaseKI67_0028.ndpi,Annotation (mantle),0.0802
CaseKI67_0028.ndpi,Annotation (mantle),0.0806
CaseKI67_0028.ndpi,Annotation (mantle),0.0818
CaseKI67_0028.ndpi,Annotation (mantle),0.0846
CaseKI67_0028.ndpi,Annotation (mantle),0.0805
CaseKI67_0028.ndpi,Annotation (mantle),0.0849
CaseKI67_0028.ndpi,Annotation (mantle),0.307
CaseKI67_0028.ndpi,Annotation (mantle),0.0943
CaseKI67_0028.ndpi,Annotation (mantle),0.7541
CaseKI67_0028.ndpi,Annotation (mantle),0.0897
CaseKI67_0028.ndpi,Annotation (mantle),0.4822
CaseKI67_0028.ndpi,Annotation (mantle),0.098
CaseKI67_0028.ndpi,Annotation (mantle),0.255
CaseKI67_0028.ndpi,Annotation (mantle),0.1002
CaseKI67_0028.ndpi,Annotation (mantle),0.0898
CaseKI67_0028.ndpi,Annotation (mantle),0.2454
CaseKI67_0028.ndpi,Annotation (mantle),0.0869
CaseKI67_0028.ndpi,Annotation (mantle),0.1004
CaseKI67_0028.ndpi,Annotation (mantle),0.1228
CaseKI67_0028.ndpi,Annotation (mantle),0.104
CaseKI67_0028.ndpi,Annotation (mantle),0.1803
CaseKI67_0028.ndpi,Annotation (mantle),0.1131
CaseKI67_0028.ndpi,Annotation (mantle),0.085
CaseKI67_0028.ndpi,Annotation (mantle),0.1207
CaseKI67_0028.ndpi,Annotation (mantle),0.1002
CaseKI67_0028.ndpi,Annotation (mantle),0.4509
CaseKI67_0028.ndpi,Annotation (mantle),0.1168
CaseKI67_0028.ndpi,Annotation (mantle),0.08
CaseKI67_0028.ndpi,Annotation (mantle),0.1124
CaseKI67_0028.ndpi,Annotation (mantle),0.1054
CaseKI67_0028.ndpi,Annotation (mantle),0.0848
CaseKI67_0028.ndpi,Annotation (mantle),0.2772
CaseKI67_0028.ndpi,Annotation (mantle),0.0916
CaseKI67_0028.ndpi,Annotation (mantle),0.2789
CaseKI67_0028.ndpi,Annotation (mantle),0.0924
CaseKI67_0028.ndpi,Annotation (mantle),0.145
CaseKI67_0028.ndpi,Annotation (mantle),0.7347
CaseKI67_0028.ndpi,Annotation (mantle),0.0822
CaseKI67_0028.ndpi,Annotation (mantle),0.1502
CaseKI67_0028.ndpi,Annotation (mantle),0.0993
CaseKI67_0028.ndpi,Annotation (mantle),0.0836
CaseKI67_0028.ndpi,Annotation (mantle),0.0871
CaseKI67_0028.ndpi,Annotation (mantle),0.0693
CaseKI67_0028.ndpi,Annotation (mantle),0.1026
CaseKI67_0028.ndpi,Annotation (mantle),0.0913
CaseKI67_0028.ndpi,Annotation (mantle),0.0725
CaseKI67_0028.ndpi,Annotation (mantle),0.0824
CaseKI67_0028.ndpi,Annotation (mantle),0.0871
CaseKI67_0028.ndpi,Annotation (mantle),0.7413
CaseKI67_0028.ndpi,Annotation (mantle),0.0686
CaseKI67_0028.ndpi,Annotation (mantle),0.0826
CaseKI67_0028.ndpi,Annotation (mantle),0.0772
CaseKI67_0028.ndpi,Annotation (mantle),0.1006
CaseKI67_0028.ndpi,Annotation (mantle),0.0887
CaseKI67_0028.ndpi,Annotation (mantle),0.1073
CaseKI67_0028.ndpi,Annotation (mantle),0.0771
