Slide, Region, Positive, Count, Positivity
CaseKI67_0001,germinal_center,0,0,0
CaseKI67_0001,light_zone,17848,23974,0.7444731793
CaseKI67_0001,dark_zone,4033,4390,0.9186788155
CaseKI67_0001,mantle,7211,54805,0.1315755862
CaseKI67_0002,germinal_center,0,0,0
CaseKI67_0002,light_zone,33662,43798,0.7685739075
CaseKI67_0002,dark_zone,18472,19726,0.9364290784
CaseKI67_0002,mantle,6491,57494,0.1128987373
CaseKI67_0003,germinal_center,0,0,0
CaseKI67_0003,light_zone,2598,3639,0.7139323990
CaseKI67_0003,dark_zone,4332,4744,0.9131534570
CaseKI67_0003,mantle,1629,18199,0.0895104127
CaseKI67_0004,germinal_center,0,0,0
CaseKI67_0004,light_zone,29291,36066,0.8121499473
CaseKI67_0004,dark_zone,28640,30420,0.9414858646
CaseKI67_0004,mantle,7176,49603,0.1446686692
CaseKI67_0005,germinal_center,0,0,0
CaseKI67_0005,light_zone,20985,27902,0.7520966239
CaseKI67_0005,dark_zone,17048,18070,0.9434421693
CaseKI67_0005,mantle,5926,49997,0.1185271116
CaseKI67_0006,germinal_center,0,0,0
CaseKI67_0006,light_zone,3880,5177,0.7494688043
CaseKI67_0006,dark_zone,12701,13446,0.9445931876
CaseKI67_0006,mantle,6333,38548,0.1642886790
CaseKI67_0007,germinal_center,0,0,0
CaseKI67_0007,light_zone,12070,16663,0.7243593591
CaseKI67_0007,dark_zone,16835,18024,0.9340324012
CaseKI67_0007,mantle,3417,33724,0.1013225003
CaseKI67_0008,germinal_center,0,0,0
CaseKI67_0008,light_zone,17017,27810,0.6119021935
CaseKI67_0008,dark_zone,16815,19850,0.8471032746
CaseKI67_0008,mantle,3333,37218,0.0895534419
CaseKI67_0009,germinal_center,0,0,0
CaseKI67_0009,light_zone,3758,5028,0.7474144789
CaseKI67_0009,dark_zone,44558,48381,0.9209813770
CaseKI67_0009,mantle,8904,44089,0.2019551362
CaseKI67_0010,germinal_center,0,0,0
CaseKI67_0010,light_zone,28211,34959,0.8069738837
CaseKI67_0010,dark_zone,51634,56256,0.9178398749
CaseKI67_0010,mantle,10324,67297,0.1534095131
