Slide, Region, Positive, Count, Positivity
CaseKI67_0001,germinal_center,0,0,0
CaseKI67_0001,light_zone,17092,23974,0.7129390173
CaseKI67_0001,dark_zone,3977,4390,0.9059225513
CaseKI67_0001,mantle,6591,54805,0.1202627497
CaseKI67_0002,germinal_center,0,0,0
CaseKI67_0002,light_zone,32689,43798,0.7463582812
CaseKI67_0002,dark_zone,18257,19726,0.9255297577
CaseKI67_0002,mantle,5981,57494,0.1040282464
CaseKI67_0003,germinal_center,0,0,0
CaseKI67_0003,light_zone,2508,3639,0.6892003298
CaseKI67_0003,dark_zone,4301,4744,0.9066188870
CaseKI67_0003,mantle,1567,18199,0.0861036321
CaseKI67_0004,germinal_center,0,0,0
CaseKI67_0004,light_zone,28576,36066,0.7923251816
CaseKI67_0004,dark_zone,28318,30420,0.9309007232
CaseKI67_0004,mantle,6571,49603,0.1324718263
CaseKI67_0005,germinal_center,0,0,0
CaseKI67_0005,light_zone,20654,27902,0.7402336750
CaseKI67_0005,dark_zone,16956,18070,0.9383508578
CaseKI67_0005,mantle,5629,49997,0.1125867552
CaseKI67_0006,germinal_center,0,0,0
CaseKI67_0006,light_zone,3750,5177,0.7243577361
CaseKI67_0006,dark_zone,12575,13446,0.9352223710
CaseKI67_0006,mantle,5975,38548,0.1550015565
CaseKI67_0007,germinal_center,0,0,0
CaseKI67_0007,light_zone,11914,16663,0.7149972994
CaseKI67_0007,dark_zone,16770,18024,0.9304260985
CaseKI67_0007,mantle,3293,33724,0.0976455936
CaseKI67_0008,germinal_center,0,0,0
CaseKI67_0008,light_zone,16259,27810,0.5846458109
CaseKI67_0008,dark_zone,16562,19850,0.8343576826
CaseKI67_0008,mantle,3094,37218,0.0831318179
CaseKI67_0009,germinal_center,0,0,0
CaseKI67_0009,light_zone,3585,5028,0.7130071599
CaseKI67_0009,dark_zone,43829,48381,0.9059134784
CaseKI67_0009,mantle,8000,44089,0.1814511556
CaseKI67_0010,germinal_center,0,0,0
CaseKI67_0010,light_zone,26877,34959,0.7688148975
CaseKI67_0010,dark_zone,50767,56256,0.9024281854
CaseKI67_0010,mantle,8888,67297,0.1320712662
CaseKI67_0011,germinal_center,0,0,0
CaseKI67_0011,light_zone,28239,40396,0.6990543618
CaseKI67_0011,dark_zone,35989,40005,0.8996125484
CaseKI67_0011,mantle,13216,108749,0.1215275543
CaseKI67_0012,germinal_center,0,0,0
CaseKI67_0012,light_zone,36267,47376,0.7655141844
