Image,Parent,DAB: Mean
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.5019
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.7384
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.6694
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.0302
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.3657
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.3833
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.7678
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.4671
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.4248
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.4928
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.2114
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.3556
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.6419
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.4916
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.6339
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.387
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),1.5295
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.524
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.4902
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.3119
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.2823
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),1.4158
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.369
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.4098
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.2213
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.6392
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.5456
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.3359
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.4338
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.2636
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.379
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.5757
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.1998
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.451
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.3519
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.5414
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.3321
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.5715
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.443
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.4502
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.27
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.3387
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.6373
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.3727
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.423
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.5367
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.2682
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.4409
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.5588
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.316
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.2941
KI67 1 in 25 run5.ndpi,Annotation (germinal_center),0.5256
