Image,Parent,DAB: Mean
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0262
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0207
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0348
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0156
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0386
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0334
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0349
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0407
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.023
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0236
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0302
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0387
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0359
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0374
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0328
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0182
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0216
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.034
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0277
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.054
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0205
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0253
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0286
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0056
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0251
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0097
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0378
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0227
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0106
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0093
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0157
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0065
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0122
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0219
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0268
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0097
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0143
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0049
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0131
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0309
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0229
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0057
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0013
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0273
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0167
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0254
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0097
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0136
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0244
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0148
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0214
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0299
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0111
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0104
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0015
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0077
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0051
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0327
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0263
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0322
KI67 1 in 125 run4.ndpi,Annotation (mantle),0.7487
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0215
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0239
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0255
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0145
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.021
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0212
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0261
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.018
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.017
KI67 1 in 125 run4.ndpi,Annotation (mantle),0.0037
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0363
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0216
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0269
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.043
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0184
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0028
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0326
KI67 1 in 125 run4.ndpi,Annotation (mantle),-0.0098
