Slide, Region, Positive, Count, Positivity
KI67 3 in 25 run4,germinal_center,19596,30921,0.633744057
KI67 3 in 25 run4,light_zone,6987,13432,0.5201757
KI67 3 in 25 run4,dark_zone,6345,7510,0.844873502
KI67 3 in 25 run4,mantle,1827,23313,0.078368292
KI67 3 in 4 run4,germinal_center,31498,39430,0.798833376
KI67 3 in 4 run4,light_zone,11134,15653,0.711301348
KI67 3 in 4 run4,dark_zone,12079,13136,0.919534105
KI67 3 in 4 run4,mantle,2399,18424,0.130210595
KI67 1 in 4 run4,germinal_center,21684,30362,0.714182201
KI67 1 in 4 run4,light_zone,9472,15189,0.623609191
KI67 1 in 4 run4,dark_zone,7841,8771,0.893968761
KI67 1 in 4 run4,mantle,2064,19890,0.103770739
KI67 1 in 125 run4,germinal_center,2876,32226,0.089244709
KI67 1 in 125 run4,light_zone,0,0,0
KI67 1 in 125 run4,dark_zone,0,0,0
KI67 1 in 125 run4,mantle,919,21375,0.042994152
KI67 2 in 25 run4,germinal_center,18587,31044,0.598730834
KI67 2 in 25 run4,light_zone,7302,15039,0.485537602
KI67 2 in 25 run4,dark_zone,6019,7424,0.810748922
KI67 2 in 25 run4,mantle,1342,17246,0.077815146
KI67 9 in 50 run4,germinal_center,20783,30789,0.675013804
KI67 9 in 50 run4,light_zone,6723,11927,0.563679048
KI67 9 in 50 run4,dark_zone,7695,8851,0.869393289
KI67 9 in 50 run4,mantle,1508,17434,0.086497648
KI67 4 in 25 run4,germinal_center,20867,32025,0.6515847
KI67 4 in 25 run4,light_zone,7928,14101,0.562229629
KI67 4 in 25 run4,dark_zone,8262,9890,0.835389282
KI67 4 in 25 run4,mantle,2072,25148,0.082392238
KI67 1 in 100 run4,germinal_center,7653,30706,0.249234677
KI67 1 in 100 run4,light_zone,0,0,0
KI67 1 in 100 run4,dark_zone,0,0,0
KI67 1 in 100 run4,mantle,564,9926,0.056820472
KI67 7 in 50 run4,germinal_center,14125,23017,0.613676848
KI67 7 in 50 run4,light_zone,6583,12111,0.543555446
KI67 7 in 50 run4,dark_zone,1837,2212,0.830470163
KI67 7 in 50 run4,mantle,1429,18032,0.079248004
KI67 3 in 50 run4,germinal_center,20329,36550,0.55619699
KI67 3 in 50 run4,light_zone,6586,14059,0.468454371
KI67 3 in 50 run4,dark_zone,3713,4340,0.855529954
KI67 3 in 50 run4,mantle,1273,19920,0.063905623
KI67 negative run4,germinal_center,83,32851,0.002526559
KI67 negative run4,light_zone,0,0,0
KI67 negative run4,dark_zone,0,0,0
KI67 negative run4,mantle,37,10266,0.00360413
KI67 1 in 50 run4,germinal_center,10580,30895,0.342450235
KI67 1 in 50 run4,light_zone,0,0,0
KI67 1 in 50 run4,dark_zone,0,0,0
KI67 1 in 50 run4,mantle,726,13903,0.052218946
KI67 1 in 2 run4,germinal_center,20849,27974,0.745299206
KI67 1 in 2 run4,light_zone,4210,6759,0.622873206
KI67 1 in 2 run4,dark_zone,8179,9437,0.866694924
KI67 1 in 2 run4,mantle,2104,17885,0.117640481
KI67 1 in 10 run4,germinal_center,19049,31193,0.610681884
KI67 1 in 10 run4,light_zone,8489,16922,0.501654651
KI67 1 in 10 run4,dark_zone,6656,7707,0.863630466
KI67 1 in 10 run4,mantle,1386,18701,0.074113684
KI67 1 in 200 run4,germinal_center,301,32545,0.009248733
KI67 1 in 200 run4,light_zone,0,0,0
KI67 1 in 200 run4,dark_zone,0,0,0
KI67 1 in 200 run4,mantle,220,13354,0.016474465
KI67 1 in 1 run4,germinal_center,22125,27802,0.795806057
KI67 1 in 1 run4,light_zone,10028,13735,0.73010557
KI67 1 in 1 run4,dark_zone,9832,10819,0.908771606
KI67 1 in 1 run4,mantle,1965,14546,0.135088684
KI67 1 in 5 run4,germinal_center,18225,27350,0.666361974
KI67 1 in 5 run4,light_zone,5734,9884,0.580129502
KI67 1 in 5 run4,dark_zone,6023,7556,0.797114876
KI67 1 in 5 run4,mantle,1500,13729,0.109257776
KI67 1 in 25 run4,germinal_center,16452,31632,0.520106222
KI67 1 in 25 run4,light_zone,2705,7177,0.376898426
KI67 1 in 25 run4,dark_zone,3184,4187,0.760449009
KI67 1 in 25 run4,mantle,714,9932,0.071888844
KI67 1 in 2 run5,germinal_center,16953,21647,0.783157019
KI67 1 in 2 run5,light_zone,9451,12913,0.731898087
KI67 1 in 2 run5,dark_zone,5847,6529,0.895542962
KI67 1 in 2 run5,mantle,0,0,0
KI67 1 in 25 run5,germinal_center,8052,11788,0.683067526
KI67 1 in 25 run5,light_zone,4945,7933,0.623345519
KI67 1 in 25 run5,dark_zone,1643,1811,0.907233573
KI67 1 in 25 run5,mantle,0,0,0
KI67 3 in 4 run5,germinal_center,16659,18299,0.910377616
KI67 3 in 4 run5,light_zone,8723,9843,0.886213553
KI67 3 in 4 run5,dark_zone,6451,6769,0.953021126
KI67 3 in 4 run5,mantle,0,0,0
KI67 negative run5,germinal_center,42,22761,0.001845262
KI67 negative run5,light_zone,0,0,0
KI67 negative run5,dark_zone,0,0,0
KI67 negative run5,mantle,0,0,0
KI67 4 in 25 run5,germinal_center,17793,24050,0.73983368
KI67 4 in 25 run5,light_zone,9667,13527,0.714644785
KI67 4 in 25 run5,dark_zone,7010,8474,0.827236252
KI67 4 in 25 run5,mantle,0,0,0
KI67 1 in 200 run5,germinal_center,202,24952,0.008095543
KI67 1 in 200 run5,light_zone,0,0,0
KI67 1 in 200 run5,dark_zone,0,0,0
KI67 1 in 200 run5,mantle,0,0,0
KI67 1 in 1 run5,germinal_center,17444,20968,0.831934376
KI67 1 in 1 run5,light_zone,9716,12229,0.794504866
KI67 1 in 1 run5,dark_zone,5131,5549,0.924671112
KI67 1 in 1 run5,mantle,0,0,0
KI67 1 in 5 run5,germinal_center,9807,12433,0.788787903
KI67 1 in 5 run5,light_zone,4954,6779,0.730786252
KI67 1 in 5 run5,dark_zone,3185,3474,0.916810593
KI67 1 in 5 run5,mantle,0,0,0
KI67 1 in 100 run5,germinal_center,652,24508,0.026603558
KI67 1 in 100 run5,light_zone,0,0,0
KI67 1 in 100 run5,dark_zone,0,0,0
KI67 1 in 100 run5,mantle,0,0,0
KI67 3 in 50 run5,germinal_center,0,0,0
KI67 3 in 50 run5,light_zone,0,0,0
KI67 3 in 50 run5,dark_zone,0,0,0
KI67 3 in 50 run5,mantle,0,0,0
KI67 2 in 25 run5,germinal_center,12600,17971,0.701129598
KI67 2 in 25 run5,light_zone,6770,10868,0.622929702
KI67 2 in 25 run5,dark_zone,4091,4596,0.890121845
KI67 2 in 25 run5,mantle,0,0,0
KI67 3 in 25 run5,germinal_center,18841,24596,0.766018865
KI67 3 in 25 run5,light_zone,10911,15231,0.716367934
KI67 3 in 25 run5,dark_zone,5477,5983,0.915427043
KI67 3 in 25 run5,mantle,0,0,0
KI67 1 in 4 run5,germinal_center,9894,12693,0.779484755
KI67 1 in 4 run5,light_zone,5184,7167,0.723315195
KI67 1 in 4 run5,dark_zone,3666,4085,0.897429621
KI67 1 in 4 run5,mantle,0,0,0
KI67 1 in 125 run5,germinal_center,1148,10905,0.105272811
KI67 1 in 125 run5,light_zone,0,0,0
KI67 1 in 125 run5,dark_zone,0,0,0
KI67 1 in 125 run5,mantle,0,0,0
KI67 1 in 10 run5,germinal_center,14667,20530,0.714417925
KI67 1 in 10 run5,light_zone,8993,13682,0.657286946
KI67 1 in 10 run5,dark_zone,3875,4324,0.896160962
KI67 1 in 10 run5,mantle,0,0,0
KI67 1 in 50 run5,germinal_center,11608,23605,0.49176022
KI67 1 in 50 run5,light_zone,0,0,0
KI67 1 in 50 run5,dark_zone,0,0,0
KI67 1 in 50 run5,mantle,0,0,0
KI67 9 in 50 run5,germinal_center,17931,23138,0.774958942
KI67 9 in 50 run5,light_zone,10136,13962,0.725970491
KI67 9 in 50 run5,dark_zone,5777,6289,0.918588011
KI67 9 in 50 run5,mantle,0,0,0
KI67 7 in 50 run5,germinal_center,9007,11897,0.757081617
KI67 7 in 50 run5,light_zone,5012,7061,0.709814474
KI67 7 in 50 run5,dark_zone,3423,3914,0.874552887
KI67 7 in 50 run5,mantle,0,0,0
KI67 1 in 25 run6,germinal_center,16071,24172,0.664860169
KI67 1 in 25 run6,light_zone,9496,15947,0.595472503
KI67 1 in 25 run6,dark_zone,4808,5541,0.867713409
KI67 1 in 25 run6,mantle,0,0,0
KI67 1 in 5 run6,germinal_center,16640,22321,0.745486313
KI67 1 in 5 run6,light_zone,10407,15020,0.692876165
KI67 1 in 5 run6,dark_zone,5014,5599,0.895517057
KI67 1 in 5 run6,mantle,0,0,0
KI67 1 in 125 run6,germinal_center,930,22267,0.041765842
KI67 1 in 125 run6,light_zone,0,0,0
KI67 1 in 125 run6,dark_zone,0,0,0
KI67 1 in 125 run6,mantle,0,0,0
KI67 4 in 25 run6,germinal_center,2704,3906,0.692268305
KI67 4 in 25 run6,light_zone,1050,1723,0.609402206
KI67 4 in 25 run6,dark_zone,1513,1926,0.78556594
KI67 4 in 25 run6,mantle,0,0,0
KI67 1 in 4 run6,germinal_center,4524,6182,0.731802006
KI67 1 in 4 run6,light_zone,2208,3395,0.650368189
KI67 1 in 4 run6,dark_zone,1812,2002,0.905094905
KI67 1 in 4 run6,mantle,0,0,0
KI67 9 in 50 run6,germinal_center,15738,22255,0.707166929
KI67 9 in 50 run6,light_zone,9305,14236,0.653624614
KI67 9 in 50 run6,dark_zone,5041,5917,0.851952003
KI67 9 in 50 run6,mantle,0,0,0
KI67 3 in 25 run6,germinal_center,16616,23422,0.709418495
KI67 3 in 25 run6,light_zone,9911,15376,0.644575963
KI67 3 in 25 run6,dark_zone,4859,5542,0.876759293
KI67 3 in 25 run6,mantle,0,0,0
KI67 7 in 50 run6,germinal_center,6578,10413,0.631710362
KI67 7 in 50 run6,light_zone,3314,5707,0.58069038
KI67 7 in 50 run6,dark_zone,2576,3381,0.761904762
KI67 7 in 50 run6,mantle,0,0,0
KI67 1 in 1 run6,germinal_center,13948,16837,0.828413613
KI67 1 in 1 run6,light_zone,7895,9960,0.792670683
KI67 1 in 1 run6,dark_zone,4282,4636,0.92364107
KI67 1 in 1 run6,mantle,0,0,0
KI67 1 in 10 run6,germinal_center,17877,25374,0.70454008
KI67 1 in 10 run6,light_zone,10854,16806,0.645840771
KI67 1 in 10 run6,dark_zone,5341,6125,0.872
KI67 1 in 10 run6,mantle,0,0,0
KI67 2 in 25 run6,germinal_center,5375,7155,0.751222921
KI67 2 in 25 run6,light_zone,3132,4455,0.703030303
KI67 2 in 25 run6,dark_zone,1404,1530,0.917647059
KI67 2 in 25 run6,mantle,0,0,0
KI67 negative run6,germinal_center,30,13802,0.002173598
KI67 negative run6,light_zone,0,0,0
KI67 negative run6,dark_zone,0,0,0
KI67 negative run6,mantle,0,0,0
KI67 1 in 200 run6,germinal_center,88,14958,0.00588314
KI67 1 in 200 run6,light_zone,0,0,0
KI67 1 in 200 run6,dark_zone,0,0,0
KI67 1 in 200 run6,mantle,0,0,0
KI67 1 in 2 run6,germinal_center,18571,22863,0.812273105
KI67 1 in 2 run6,light_zone,10062,12969,0.775850104
KI67 1 in 2 run6,dark_zone,5875,6396,0.918542839
KI67 1 in 2 run6,mantle,0,0,0
KI67 3 in 50 run6,germinal_center,11005,16161,0.680960337
KI67 3 in 50 run6,light_zone,6909,11185,0.61770228
KI67 3 in 50 run6,dark_zone,2808,3157,0.889452011
KI67 3 in 50 run6,mantle,0,0,0
KI67 1 in 100 run6,germinal_center,930,8255,0.112658995
KI67 1 in 100 run6,light_zone,0,0,0
KI67 1 in 100 run6,dark_zone,0,0,0
KI67 1 in 100 run6,mantle,0,0,0
KI67 3 in 4 run6,germinal_center,19379,23698,0.817748333
KI67 3 in 4 run6,light_zone,10225,13171,0.776326779
KI67 3 in 4 run6,dark_zone,6638,7286,0.911062311
KI67 3 in 4 run6,mantle,0,0,0
KI67 1 in 50 run6,germinal_center,1609,8400,0.191547619
KI67 1 in 50 run6,light_zone,0,0,0
KI67 1 in 50 run6,dark_zone,0,0,0
KI67 1 in 50 run6,mantle,0,0,0
