Slide, Region, Positive, Count, Positivity
KI67 1 in 500,germinal_center,139,54178,0.0025656170
KI67 1 in 500,light_zone,0,0,0
KI67 1 in 500,dark_zone,0,0,0
KI67 1 in 500,mantle,154,72089,0.0021362482
KI67 1 in 20,germinal_center,28777,69843,0.4120241112
KI67 1 in 20,light_zone,2528,9729,0.2598417104
KI67 1 in 20,dark_zone,3864,5721,0.6754063975
KI67 1 in 20,mantle,3862,62596,0.0616972331
KI67 1 in 10,germinal_center,41720,70556,0.5913033619
KI67 1 in 10,light_zone,17166,35550,0.4828691983
KI67 1 in 10,dark_zone,6837,8262,0.8275236020
KI67 1 in 10,mantle,4237,56748,0.0746634243
KI67 1 in 100,germinal_center,306,63219,0.0048403170
KI67 1 in 100,light_zone,0,0,0
KI67 1 in 100,dark_zone,0,0,0
KI67 1 in 100,mantle,245,35731,0.0068567910
KI67 1 in 2,germinal_center,49551,66994,0.7396334000
KI67 1 in 2,light_zone,16565,25729,0.6438260329
KI67 1 in 2,dark_zone,19732,22298,0.8849224146
KI67 1 in 2,mantle,4569,37755,0.1210170838
KI67 1 in 4,germinal_center,49176,70445,0.6980765136
KI67 1 in 4,light_zone,18396,31088,0.5917395780
KI67 1 in 4,dark_zone,18196,21032,0.8651578547
KI67 1 in 4,mantle,4618,41738,0.1106425799
KI67 1 in 1000,germinal_center,92,44679,0.0020591329
KI67 1 in 1000,light_zone,0,0,0
KI67 1 in 1000,dark_zone,0,0,0
KI67 1 in 1000,mantle,134,47604,0.0028148895
KI67 3 in 4,germinal_center,51116,69026,0.7405325530
KI67 3 in 4,light_zone,19729,29812,0.6617804911
KI67 3 in 4,dark_zone,21489,24401,0.8806606287
KI67 3 in 4,mantle,5141,45634,0.1126572293
KI67 negative,germinal_center,84,42166,0.0019921264
KI67 negative,light_zone,0,0,0
KI67 negative,dark_zone,0,0,0
KI67 negative,mantle,119,41415,0.0028733551
KI67 1 in 10 run2,germinal_center,48247,72170,0.6685187751
KI67 1 in 10 run2,light_zone,23222,39304,0.5908304498
KI67 1 in 10 run2,dark_zone,16916,19514,0.8668648150
KI67 1 in 10 run2,mantle,4829,50870,0.0949282485
KI67 1 in 50 run3,germinal_center,20915,79003,0.2647367821
KI67 1 in 50 run3,light_zone,3595,16456,0.2184613515
KI67 1 in 50 run3,dark_zone,1554,6860,0.2265306122
KI67 1 in 50 run3,mantle,3677,66186,0.0555555556
KI67 1 in 20 run2,germinal_center,43871,74284,0.5905847827
KI67 1 in 20 run2,light_zone,15522,32293,0.4806614437
KI67 1 in 20 run2,dark_zone,10188,12327,0.8264784619
KI67 1 in 20 run2,mantle,3568,50726,0.0703386823
KI67 1 in 200 run2,germinal_center,549,71997,0.0076253177
KI67 1 in 200 run2,light_zone,0,0,0
KI67 1 in 200 run2,dark_zone,0,0,0
KI67 1 in 200 run2,mantle,680,65077,0.0104491602
KI67 3 in 4 run2,germinal_center,49497,65536,0.7552642822265625
KI67 3 in 4 run2,light_zone,22799,32524,0.7009900381
KI67 3 in 4 run2,dark_zone,17116,19290,0.8872991187
KI67 3 in 4 run2,mantle,5872,49567,0.1184659148
KI67 1 in 100 run2,germinal_center,5454,82070,0.0664554648
KI67 1 in 100 run2,light_zone,0,0,0
KI67 1 in 100 run2,dark_zone,0,0,0
