Slide, Region, Positive, Count, Positivity
KI67 3 in 25 run4,germinal_center,19596,30921,0.6337440574
KI67 3 in 25 run4,light_zone,6987,13432,0.5201756998
KI67 3 in 25 run4,dark_zone,6345,7510,0.8448735020
KI67 3 in 25 run4,mantle,1827,23313,0.0783682924
KI67 3 in 4 run4,germinal_center,31498,39430,0.7988333756
KI67 3 in 4 run4,light_zone,11134,15653,0.7113013480
KI67 3 in 4 run4,dark_zone,12079,13136,0.9195341048
KI67 3 in 4 run4,mantle,2399,18424,0.1302105949
KI67 1 in 4 run4,germinal_center,21684,30362,0.7141822014
KI67 1 in 4 run4,light_zone,9472,15189,0.6236091909
KI67 1 in 4 run4,dark_zone,7841,8771,0.8939687607
KI67 1 in 4 run4,mantle,2064,19890,0.1037707391
KI67 1 in 125 run4,germinal_center,2876,32226,0.0892447092
KI67 1 in 125 run4,light_zone,0,0,0
KI67 1 in 125 run4,dark_zone,0,0,0
KI67 1 in 125 run4,mantle,919,21375,0.0429941520
KI67 2 in 25 run4,germinal_center,18587,31044,0.5987308337
KI67 2 in 25 run4,light_zone,7302,15039,0.4855376022
KI67 2 in 25 run4,dark_zone,6019,7424,0.8107489224
KI67 2 in 25 run4,mantle,1342,17246,0.0778151455
KI67 9 in 50 run4,germinal_center,20783,30789,0.6750138036
KI67 9 in 50 run4,light_zone,6723,11927,0.5636790475
KI67 9 in 50 run4,dark_zone,7695,8851,0.8693932889
KI67 9 in 50 run4,mantle,1508,17434,0.0864976483
KI67 4 in 25 run4,germinal_center,20867,32025,0.6515846995
KI67 4 in 25 run4,light_zone,7928,14101,0.5622296291
KI67 4 in 25 run4,dark_zone,8262,9890,0.8353892821
KI67 4 in 25 run4,mantle,2072,25148,0.0823922380
KI67 1 in 100 run4,germinal_center,7653,30706,0.2492346773
KI67 1 in 100 run4,light_zone,0,0,0
KI67 1 in 100 run4,dark_zone,0,0,0
KI67 1 in 100 run4,mantle,564,9926,0.0568204715
KI67 7 in 50 run4,germinal_center,14125,23017,0.6136768475
KI67 7 in 50 run4,light_zone,6583,12111,0.5435554455
KI67 7 in 50 run4,dark_zone,1837,2212,0.8304701627
KI67 7 in 50 run4,mantle,1429,18032,0.0792480035
KI67 3 in 50 run4,germinal_center,20329,36550,0.5561969904
KI67 3 in 50 run4,light_zone,6586,14059,0.4684543709
KI67 3 in 50 run4,dark_zone,3713,4340,0.8555299539
KI67 3 in 50 run4,mantle,1273,19920,0.0639056225
KI67 negative run4,germinal_center,83,32851,0.0025265593
KI67 negative run4,light_zone,0,0,0
KI67 negative run4,dark_zone,0,0,0
KI67 negative run4,mantle,37,10266,0.0036041301
KI67 1 in 50 run4,germinal_center,10580,30895,0.3424502347
KI67 1 in 50 run4,light_zone,0,0,0
KI67 1 in 50 run4,dark_zone,0,0,0
KI67 1 in 50 run4,mantle,726,13903,0.0522189456
KI67 1 in 2 run4,germinal_center,20849,27974,0.7452992064
KI67 1 in 2 run4,light_zone,4210,6759,0.6228732061
KI67 1 in 2 run4,dark_zone,8179,9437,0.8666949242
KI67 1 in 2 run4,mantle,2104,17885,0.1176404808
KI67 1 in 10 run4,germinal_center,19049,31193,0.6106818838
KI67 1 in 10 run4,light_zone,8489,16922,0.5016546508
KI67 1 in 10 run4,dark_zone,6656,7707,0.8636304658
KI67 1 in 10 run4,mantle,1386,18701,0.0741136838
KI67 1 in 200 run4,germinal_center,301,32545,0.0092487325
KI67 1 in 200 run4,light_zone,0,0,0
KI67 1 in 200 run4,dark_zone,0,0,0
KI67 1 in 200 run4,mantle,220,13354,0.0164744646
KI67 1 in 1 run4,germinal_center,22125,27802,0.7958060571
KI67 1 in 1 run4,light_zone,10028,13735,0.7301055697
KI67 1 in 1 run4,dark_zone,9832,10819,0.9087716055
KI67 1 in 1 run4,mantle,1965,14546,0.1350886842
KI67 1 in 5 run4,germinal_center,18225,27350,0.6663619744
KI67 1 in 5 run4,light_zone,5734,9884,0.5801295022
KI67 1 in 5 run4,dark_zone,6023,7556,0.7971148756
KI67 1 in 5 run4,mantle,1500,13729,0.1092577755
KI67 1 in 25 run4,germinal_center,16452,31632,0.5201062215
KI67 1 in 25 run4,light_zone,2705,7177,0.3768984255
KI67 1 in 25 run4,dark_zone,3184,4187,0.7604490088
KI67 1 in 25 run4,mantle,714,9932,0.0718888441
