Image,Parent,DAB: Mean
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.054
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.045
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0473
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0339
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0343
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0426
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0485
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0501
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0485
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0421
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0398
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0578
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0449
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0334
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0968
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0538
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0508
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0394
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0464
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0507
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0555
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0438
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0367
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0512
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0431
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.051
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0505
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0427
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0407
KI67JGH1out100run2.ndpi,Annotation (mantle),0.0072
KI67JGH1out100run2.ndpi,Annotation (mantle),-0.0462
