Image,Parent,DAB: Mean
KI67negativerun2.ndpi,Annotation (mantle),-0.0018
KI67negativerun2.ndpi,Annotation (mantle),-0.0364
KI67negativerun2.ndpi,Annotation (mantle),-0.0357
KI67negativerun2.ndpi,Annotation (mantle),-0.0384
KI67negativerun2.ndpi,Annotation (mantle),-0.0071
KI67negativerun2.ndpi,Annotation (mantle),0.0483
KI67negativerun2.ndpi,Annotation (mantle),0.0477
KI67negativerun2.ndpi,Annotation (mantle),-0.0195
KI67negativerun2.ndpi,Annotation (mantle),-0.0391
KI67negativerun2.ndpi,Annotation (mantle),0.1877
KI67negativerun2.ndpi,Annotation (mantle),-0.0386
KI67negativerun2.ndpi,Annotation (mantle),-0.0102
KI67negativerun2.ndpi,Annotation (mantle),-0.0574
KI67negativerun2.ndpi,Annotation (mantle),-0.0543
KI67negativerun2.ndpi,Annotation (mantle),-0.0266
KI67negativerun2.ndpi,Annotation (mantle),-0.0347
KI67negativerun2.ndpi,Annotation (mantle),-0.0339
KI67negativerun2.ndpi,Annotation (mantle),0.0876
KI67negativerun2.ndpi,Annotation (mantle),0.0183
KI67negativerun2.ndpi,Annotation (mantle),-0.0344
KI67negativerun2.ndpi,Annotation (mantle),-0.0142
KI67negativerun2.ndpi,Annotation (mantle),-0.0476
KI67negativerun2.ndpi,Annotation (mantle),0.1121
KI67negativerun2.ndpi,Annotation (mantle),-0.0248
KI67negativerun2.ndpi,Annotation (mantle),0.0662
KI67negativerun2.ndpi,Annotation (mantle),-0.056
KI67negativerun2.ndpi,Annotation (mantle),0.0635
KI67negativerun2.ndpi,Annotation (mantle),0.0132
KI67negativerun2.ndpi,Annotation (mantle),-0.0381
KI67negativerun2.ndpi,Annotation (mantle),-0.0389
KI67negativerun2.ndpi,Annotation (mantle),-0.0483
KI67negativerun2.ndpi,Annotation (mantle),0.0712
KI67negativerun2.ndpi,Annotation (mantle),-0.048
KI67negativerun2.ndpi,Annotation (mantle),0.0083
KI67negativerun2.ndpi,Annotation (mantle),-0.0452
KI67negativerun2.ndpi,Annotation (mantle),-0.0329
KI67negativerun2.ndpi,Annotation (mantle),0.0163
KI67negativerun2.ndpi,Annotation (mantle),-0.0468
KI67negativerun2.ndpi,Annotation (mantle),-0.037
KI67negativerun2.ndpi,Annotation (mantle),0.0248
KI67negativerun2.ndpi,Annotation (mantle),-0.0409
KI67negativerun2.ndpi,Annotation (mantle),-0.0572
KI67negativerun2.ndpi,Annotation (mantle),0.0265
KI67negativerun2.ndpi,Annotation (mantle),-0.0593
KI67negativerun2.ndpi,Annotation (mantle),-0.0423
KI67negativerun2.ndpi,Annotation (mantle),-0.0456
KI67negativerun2.ndpi,Annotation (mantle),-0.0456
KI67negativerun2.ndpi,Annotation (mantle),-0.0562
KI67negativerun2.ndpi,Annotation (mantle),-0.0382
KI67negativerun2.ndpi,Annotation (mantle),-0.0483
KI67negativerun2.ndpi,Annotation (mantle),-0.0478
KI67negativerun2.ndpi,Annotation (mantle),-0.0327
KI67negativerun2.ndpi,Annotation (mantle),-0.0324
KI67negativerun2.ndpi,Annotation (mantle),-0.0368
KI67negativerun2.ndpi,Annotation (mantle),-0.0122
KI67negativerun2.ndpi,Annotation (mantle),-0.0387
KI67negativerun2.ndpi,Annotation (mantle),-0.0479
KI67negativerun2.ndpi,Annotation (mantle),-0.0493
KI67negativerun2.ndpi,Annotation (mantle),-0.0386
KI67negativerun2.ndpi,Annotation (mantle),-0.0431
KI67negativerun2.ndpi,Annotation (mantle),-0.0409
KI67negativerun2.ndpi,Annotation (mantle),
KI67negativerun2.ndpi,Annotation (mantle),-0.0253
KI67negativerun2.ndpi,Annotation (mantle),-0.0561
KI67negativerun2.ndpi,Annotation (mantle),-0.0191
KI67negativerun2.ndpi,Annotation (mantle),-0.0435
