Slide, Region, Positive, Count, Positivity
KI67JGH1out4run3,germinal_center,12692,18388,0.6902327605
KI67JGH1out4run3,light_zone,4797,8106,0.5917838638
KI67JGH1out4run3,dark_zone,5687,6608,0.8606234867
KI67JGH1out4run3,mantle,1472,21757,0.0676563865
KI67JGH1out200run1,germinal_center,32,12228,0.0026169447
KI67JGH1out200run1,light_zone,0,0,0
KI67JGH1out200run1,dark_zone,0,0,0
KI67JGH1out200run1,mantle,54,26799,0.0020150006
KI67negativerun3,germinal_center,273,27723,0.0098474191
KI67negativerun3,light_zone,0,0,0
KI67negativerun3,dark_zone,0,0,0
KI67negativerun3,mantle,279,43402,0.0064282752
KI67JGH1out10run3,germinal_center,12694,21347,0.5946503022
KI67JGH1out10run3,light_zone,2456,5515,0.4453309157
KI67JGH1out10run3,dark_zone,6352,7925,0.8015141956
KI67JGH1out10run3,mantle,786,14102,0.0557367749
KI67JGH1out200run2,germinal_center,46,12244,0.0037569422
KI67JGH1out200run2,light_zone,0,0,0
KI67JGH1out200run2,dark_zone,0,0,0
KI67JGH1out200run2,mantle,58,21629,0.0026815849
KI67JGH1out20run1,germinal_center,1407,15902,0.0884794365
KI67JGH1out20run1,light_zone,289,5211,0.0554596047
KI67JGH1out20run1,dark_zone,624,4230,0.1475177305
KI67JGH1out20run1,mantle,261,14099,0.0185119512
KI67JGHfullrun1,germinal_center,17752,22981,0.7724642096
KI67JGHfullrun1,light_zone,7414,10405,0.7125420471
KI67JGHfullrun1,dark_zone,7128,7892,0.9031931069
KI67JGHfullrun1,mantle,1985,22726,0.0873448913
KI67JGH1out20run2,germinal_center,3619,18199,0.1988570801
KI67JGH1out20run2,light_zone,654,5113,0.1279092509
KI67JGH1out20run2,dark_zone,1662,5934,0.2800808898
KI67JGH1out20run2,mantle,316,12925,0.0244487427
KI67JGH1out2run1,germinal_center,15328,19657,0.7797731088
KI67JGH1out2run1,light_zone,4354,6236,0.6982039769
KI67JGH1out2run1,dark_zone,7342,8227,0.8924273733
KI67JGH1out2run1,mantle,2193,21725,0.1009436133
KI67JGH1out100run3,germinal_center,19,15603,0.0012177145
KI67JGH1out100run3,light_zone,0,0,0
KI67JGH1out100run3,dark_zone,0,0,0
KI67JGH1out100run3,mantle,54,17726,0.0030463726
KI67JGH1out20run3,germinal_center,4847,25789,0.1879483501
KI67JGH1out20run3,light_zone,633,7293,0.0867955574
KI67JGH1out20run3,dark_zone,1138,5715,0.1991251094
KI67JGH1out20run3,mantle,479,22431,0.0213543756
