Image,Parent,DAB: Mean
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0115
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0154
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.016
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.53
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0237
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0031
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0077
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.005
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0032
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0028
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.021
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.58
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0645
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0014
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0088
CaseKI67J_0004.ndpi,Annotation (germinal_center),
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0043
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.697
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.007
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0191
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.2917
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.3104
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.992
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.4685
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.7109
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0182
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0053
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0061
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.7102
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.7994
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.5577
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.1222
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.7582
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.8157
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.3085
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0014
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.006
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.7964
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0013
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.6834
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.8051
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.6228
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0064
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.4138
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.1108
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.6845
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0477
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0054
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.8285
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.5173
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.8659
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.8873
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0158
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0075
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.8395
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.3973
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.1512
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.7723
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0182
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0668
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0306
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0124
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.4344
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.6719
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.659
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.2028
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0295
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.8242
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.6319
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.3462
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.8873
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.7851
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.5055
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0431
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.5552
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.2823
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.3558
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0122
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0112
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.822
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0652
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.7046
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.4655
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.2696
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.003
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0416
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.3315
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0128
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.012
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.6325
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.2979
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.4902
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.728
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0281
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.5811
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.4948
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0084
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.578
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0222
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.5786
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0267
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0458
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.7571
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0057
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.7455
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0046
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.5534
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0382
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0649
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.2481
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.005
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.036
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0049
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0069
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0126
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0026
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.9883
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.7897
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0544
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0113
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0166
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.1928
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.4297
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0062
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.1049
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0046
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.2256
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0266
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.7007
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.37
CaseKI67J_0004.ndpi,Annotation (germinal_center),1
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.4167
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0773
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0261
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0192
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.5089
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.0245
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0144
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0183
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.5955
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.2758
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0331
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0494
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0025
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0546
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0343
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0232
