Slide, Region, Positive, Count, Positivity
CaseKI67_0001,germinal_center,31919,41645,0.7664545564
CaseKI67_0001,light_zone,21655,29151,0.7428561627
CaseKI67_0001,dark_zone,4755,5241,0.9072696050
CaseKI67_0001,mantle,6786,52585,0.1290482077
CaseKI67_0002,germinal_center,54861,67714,0.8101869628
CaseKI67_0002,light_zone,32681,42772,0.7640746283
CaseKI67_0002,dark_zone,15015,16030,0.9366812227
CaseKI67_0002,mantle,5719,50564,0.1131041848
CaseKI67_0017,germinal_center,48817,59815,0.8161330770
CaseKI67_0017,light_zone,14502,19879,0.7295135570
CaseKI67_0017,dark_zone,20269,21945,0.9236272499
CaseKI67_0017,mantle,6914,41738,0.1656524031
CaseKI67_0054,germinal_center,19679,31330,0.6281200128
CaseKI67_0054,light_zone,5999,9566,0.6271168723
CaseKI67_0054,dark_zone,5841,6662,0.8767637346
CaseKI67_0054,mantle,5716,59523,0.0960301060
CaseKI67_0081,germinal_center,23300,29020,0.8028945555
CaseKI67_0081,light_zone,10006,13964,0.7165568605
CaseKI67_0081,dark_zone,10758,11419,0.9421140205
CaseKI67_0081,mantle,2806,31861,0.0880700543
CaseKI67J_0004,germinal_center,3087,5781,0.5339906591
CaseKI67J_0004,light_zone,2078,3603,0.5767416042
CaseKI67J_0004,dark_zone,0,0,0
CaseKI67J_0004,mantle,794,14698,0.0540209552
CaseKI67J_0022,germinal_center,54441,74667,0.7291172807
CaseKI67J_0022,light_zone,22102,34176,0.6467111423
CaseKI67J_0022,dark_zone,19093,21665,0.8812831756
CaseKI67J_0022,mantle,4854,50847,0.0954628592
CaseKI67J_0046,germinal_center,62824,90709,0.6925883870
CaseKI67J_0046,light_zone,18671,34373,0.5431879673
CaseKI67J_0046,dark_zone,27108,29957,0.9048970191
CaseKI67J_0046,mantle,3534,76623,0.0461219216
CaseKI67J_0061,germinal_center,40872,59250,0.6898227848
CaseKI67J_0061,light_zone,14194,25732,0.5516088917
CaseKI67J_0061,dark_zone,18899,20617,0.9166707086
CaseKI67J_0061,mantle,2351,53670,0.0438047326
