Image,Parent,DAB: Mean
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0222
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0201
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0241
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.008
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0216
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0003
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0353
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0137
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0068
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0262
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0062
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0204
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0109
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0297
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.003
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0064
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0152
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0025
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.4962
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0202
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0095
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0013
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0179
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0033
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0069
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0102
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.011
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.008
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.5677
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0168
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0211
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.025
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0148
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0155
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0002
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0035
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.008
