Slide, Region, Positive, Count, Positivity
CaseKI67_0001,germinal_center,35093,48122,0.7292506546
CaseKI67_0001,light_zone,21586,29311,0.7364470677
CaseKI67_0001,dark_zone,6886,7614,0.9043866562
CaseKI67_0001,mantle,5646,40748,0.1385589477
CaseKI67_0002,germinal_center,54663,68165,0.8019218074
CaseKI67_0002,light_zone,27468,35882,0.7655091689
CaseKI67_0002,dark_zone,16944,18627,0.9096472862
CaseKI67_0002,mantle,6025,50934,0.1182903365
CaseKI67_0017,germinal_center,49112,61070,0.8041919109
CaseKI67_0017,light_zone,10860,15253,0.7119910837
CaseKI67_0017,dark_zone,25957,29125,0.8912274678
CaseKI67_0017,mantle,8219,49286,0.1667613521
CaseKI67_0054,germinal_center,12474,17693,0.7050245860
CaseKI67_0054,light_zone,3113,4761,0.6538542323
CaseKI67_0054,dark_zone,6926,8141,0.8507554355
CaseKI67_0054,mantle,11105,76425,0.1453058554
CaseKI67_0081,germinal_center,22165,28005,0.7914658097
CaseKI67_0081,light_zone,7755,11107,0.6982083371
CaseKI67_0081,dark_zone,11205,12006,0.9332833583
CaseKI67_0081,mantle,4518,42638,0.1059618181
CaseKI67J_0004,germinal_center,3158,6872,0.4595459837
CaseKI67J_0004,light_zone,1883,3001,0.6274575142
CaseKI67J_0004,dark_zone,0,0,0
CaseKI67J_0004,mantle,2658,31850,0.0834536892
CaseKI67J_0022,germinal_center,53822,75581,0.7121101864
CaseKI67J_0022,light_zone,22290,34638,0.6435129049
CaseKI67J_0022,dark_zone,21756,25189,0.8637103498
CaseKI67J_0022,mantle,4442,41204,0.1078050675
CaseKI67J_0046,germinal_center,62312,93574,0.6659114711
CaseKI67J_0046,light_zone,20116,37623,0.5346729394
CaseKI67J_0046,dark_zone,28751,32370,0.8881989496
CaseKI67J_0046,mantle,6287,111794,0.0562373652
CaseKI67J_0061,germinal_center,40559,61756,0.6567620960
CaseKI67J_0061,light_zone,14702,25687,0.5723517733
CaseKI67J_0061,dark_zone,18936,21416,0.8841987299
CaseKI67J_0061,mantle,3332,60018,0.0555166783
