Image,Parent,DAB: Mean
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.1763
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0214
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.5365
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0082
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0963
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.0587
CaseKI67J_0004.ndpi,Annotation (germinal_center),-0.0031
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.0082
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.5308
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.5445
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.6964
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.6234
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.5205
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.6738
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.6588
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.5299
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.5743
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.8409
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.6807
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.3279
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.7533
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.1474
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.6027
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.6552
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.3633
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.4745
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.7884
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.4338
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.4974
CaseKI67J_0004.ndpi,Annotation (germinal_center),0.018
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.5926
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.4575
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.1964
CaseKI67J_0004.ndpi,Annotation (germinal_center),1.3246
