Slide, Region, Positive, Count, Positivity
CaseKI67_0001,germinal_center,31805,42387,0.7503479841
CaseKI67_0001,light_zone,19035,26084,0.7297577059
CaseKI67_0001,dark_zone,4946,5416,0.9132200886
CaseKI67_0001,mantle,8649,56246,0.1537709348
CaseKI67_0002,germinal_center,44858,55601,0.8067840506
CaseKI67_0002,light_zone,12165,16399,0.7418135252
CaseKI67_0002,dark_zone,25151,28590,0.8797131864
CaseKI67_0002,mantle,13022,73040,0.1782858708
CaseKI67_0017,germinal_center,48502,59663,0.8129326383
CaseKI67_0017,light_zone,16287,22194,0.7338469857
CaseKI67_0017,dark_zone,17372,18600,0.9339784946
CaseKI67_0017,mantle,8561,45595,0.1877618160
CaseKI67_0054,germinal_center,21671,35504,0.6103819288
CaseKI67_0054,light_zone,5136,8370,0.6136200717
CaseKI67_0054,dark_zone,6762,7891,0.8569256115
CaseKI67_0054,mantle,10624,75459,0.1407916882
CaseKI67_0081,germinal_center,23164,29054,0.7972740414
CaseKI67_0081,light_zone,9354,13172,0.7101427270
CaseKI67_0081,dark_zone,11047,11778,0.9379351333
CaseKI67_0081,mantle,4100,38950,0.1052631579
CaseKI67J_0004,germinal_center,5461,10187,0.5360753902
CaseKI67J_0004,light_zone,2494,4459,0.5593182328
CaseKI67J_0004,dark_zone,371,478,0.7761506276
CaseKI67J_0004,mantle,549,13938,0.0393887215
CaseKI67J_0022,germinal_center,50237,70168,0.7159531410
CaseKI67J_0022,light_zone,14992,24093,0.6222554269
CaseKI67J_0022,dark_zone,24455,28581,0.8556383611
CaseKI67J_0022,mantle,9586,56267,0.1703662893
CaseKI67J_0046,germinal_center,41741,61155,0.6825443545
CaseKI67J_0046,light_zone,9974,20475,0.4871306471
CaseKI67J_0046,dark_zone,21378,24140,0.8855840928
CaseKI67J_0046,mantle,16632,111357,0.1493574719
CaseKI67J_0061,germinal_center,37918,55922,0.6780515718
CaseKI67J_0061,light_zone,11613,22719,0.5111580615
CaseKI67J_0061,dark_zone,19197,21425,0.8960093349
CaseKI67J_0061,mantle,3104,50546,0.0614094093
