Image,Parent,DAB: Mean
CaseKI67J_0027.ndpi,Annotation (germinal_center),-0.0018
CaseKI67J_0027.ndpi,Annotation (germinal_center),0.0139
CaseKI67J_0027.ndpi,Annotation (germinal_center),
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.0986
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.6954
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.7141
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.1463
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.9767
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.6721
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.3467
CaseKI67J_0027.ndpi,Annotation (germinal_center),0.821
CaseKI67J_0027.ndpi,Annotation (germinal_center),0.3859
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.1605
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.0834
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.8453
CaseKI67J_0027.ndpi,Annotation (germinal_center),0.3601
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.6179
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.0851
CaseKI67J_0027.ndpi,Annotation (germinal_center),0.1587
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.3918
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.6781
CaseKI67J_0027.ndpi,Annotation (germinal_center),0.0374
CaseKI67J_0027.ndpi,Annotation (germinal_center),0.8763
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.281
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.2137
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.7092
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.5328
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.7118
CaseKI67J_0027.ndpi,Annotation (germinal_center),0.0913
CaseKI67J_0027.ndpi,Annotation (germinal_center),0.4846
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.7791
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.8633
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.5529
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.5451
CaseKI67J_0027.ndpi,Annotation (germinal_center),
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.119
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.8439
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.9596
CaseKI67J_0027.ndpi,Annotation (germinal_center),
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.7206
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.8037
CaseKI67J_0027.ndpi,Annotation (germinal_center),0.1739
CaseKI67J_0027.ndpi,Annotation (germinal_center),0.5387
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.1494
CaseKI67J_0027.ndpi,Annotation (germinal_center),1.8095
