Image,Parent,DAB: Mean
CaseKI67_0033.ndpi,Annotation (mantle),0.646
CaseKI67_0033.ndpi,Annotation (mantle),0.0304
CaseKI67_0033.ndpi,Annotation (mantle),0.0915
CaseKI67_0033.ndpi,Annotation (mantle),0.0511
CaseKI67_0033.ndpi,Annotation (mantle),1.6665
CaseKI67_0033.ndpi,Annotation (mantle),0.0604
CaseKI67_0033.ndpi,Annotation (mantle),0.0469
CaseKI67_0033.ndpi,Annotation (mantle),1.0408
CaseKI67_0033.ndpi,Annotation (mantle),0.0709
CaseKI67_0033.ndpi,Annotation (mantle),0.0543
CaseKI67_0033.ndpi,Annotation (mantle),0.0459
CaseKI67_0033.ndpi,Annotation (mantle),0.0433
CaseKI67_0033.ndpi,Annotation (mantle),0.0766
CaseKI67_0033.ndpi,Annotation (mantle),0.0551
CaseKI67_0033.ndpi,Annotation (mantle),0.0935
CaseKI67_0033.ndpi,Annotation (mantle),0.0459
CaseKI67_0033.ndpi,Annotation (mantle),0.1422
CaseKI67_0033.ndpi,Annotation (mantle),0.0372
CaseKI67_0033.ndpi,Annotation (mantle),0.8464
CaseKI67_0033.ndpi,Annotation (mantle),0.043
CaseKI67_0033.ndpi,Annotation (mantle),0.0765
CaseKI67_0033.ndpi,Annotation (mantle),0.0503
CaseKI67_0033.ndpi,Annotation (mantle),0.0414
CaseKI67_0033.ndpi,Annotation (mantle),0.0568
CaseKI67_0033.ndpi,Annotation (mantle),0.0482
CaseKI67_0033.ndpi,Annotation (mantle),0.3332
CaseKI67_0033.ndpi,Annotation (mantle),0.0588
CaseKI67_0033.ndpi,Annotation (mantle),0.0719
CaseKI67_0033.ndpi,Annotation (mantle),0.0571
CaseKI67_0033.ndpi,Annotation (mantle),0.0357
CaseKI67_0033.ndpi,Annotation (mantle),0.0458
CaseKI67_0033.ndpi,Annotation (mantle),1.2525
CaseKI67_0033.ndpi,Annotation (mantle),0.0699
CaseKI67_0033.ndpi,Annotation (mantle),1.3113
CaseKI67_0033.ndpi,Annotation (mantle),0.0526
CaseKI67_0033.ndpi,Annotation (mantle),0.0473
CaseKI67_0033.ndpi,Annotation (mantle),1.2528
