Slide, Region, Positivity
CaseKI67_0007,germinal_center,0.7674303160
CaseKI67_0007,light_zone,0.6872267580
CaseKI67_0007,dark_zone,0.9233313289
CaseKI67_0007,mantle,0.1130343692
CaseKI67_0017,germinal_center,0.8161330770
CaseKI67_0017,light_zone,0.7295135570
CaseKI67_0017,dark_zone,0.9236272499
CaseKI67_0017,mantle,0.1656524031
CaseKI67_0018,germinal_center,0.8598409746
CaseKI67_0018,light_zone,0.8086704003
CaseKI67_0018,dark_zone,0.9465871833
CaseKI67_0018,mantle,0.2095670461
CaseKI67_0026,germinal_center,0.7539554644
CaseKI67_0026,light_zone,0.7068512466
CaseKI67_0026,dark_zone,0.9156762167
CaseKI67_0026,mantle,0.0927000943
CaseKI67_0027,germinal_center,0.8147276560
CaseKI67_0027,light_zone,0.7490062465
CaseKI67_0027,dark_zone,0.9183645932
CaseKI67_0027,mantle,0.1021828104
CaseKI67_0033,germinal_center,0.7685631630
CaseKI67_0033,light_zone,0.7107843137
CaseKI67_0033,dark_zone,0.9408
CaseKI67_0033,mantle,0.1414368185
CaseKI67_0038,germinal_center,0.8043825728
CaseKI67_0038,light_zone,0.7011859994
CaseKI67_0038,dark_zone,0.9112255148
CaseKI67_0038,mantle,0.2716725044
CaseKI67_0039,germinal_center,0.8689185353
CaseKI67_0039,light_zone,0.7399065732
CaseKI67_0039,dark_zone,0.9253860171
CaseKI67_0039,mantle,0.1598994670
CaseKI67_0041,germinal_center,0.8188063547
CaseKI67_0041,light_zone,0.8257728296
CaseKI67_0041,dark_zone,0
CaseKI67_0041,mantle,0.2374857143
CaseKI67_0042,germinal_center,0.8796619670
CaseKI67_0042,light_zone,0.8940754039
CaseKI67_0042,dark_zone,0.9723441167
CaseKI67_0042,mantle,0.4156278704
CaseKI67_0043,germinal_center,0.8152473737
CaseKI67_0043,light_zone,0.7575850274
CaseKI67_0043,dark_zone,0.9217112299
CaseKI67_0043,mantle,0.1227406757
CaseKI67_0044,germinal_center,0.8427252041
CaseKI67_0044,light_zone,0.8021864509
CaseKI67_0044,dark_zone,0.9592476489
CaseKI67_0044,mantle,0.1228736256
CaseKI67_0045,germinal_center,0.8403938334
CaseKI67_0045,light_zone,0.7936645963
CaseKI67_0045,dark_zone,0.9295430327
CaseKI67_0045,mantle,0.1359599617
CaseKI67_0046,germinal_center,0.8585010694
CaseKI67_0046,light_zone,0.8133343240
CaseKI67_0046,dark_zone,0.9431277533
CaseKI67_0046,mantle,0.1400762022
CaseKI67_0047,germinal_center,0
CaseKI67_0047,light_zone,0
CaseKI67_0047,dark_zone,0
CaseKI67_0047,mantle,0
CaseKI67_0048,germinal_center,0.8399035548
CaseKI67_0048,light_zone,0.7826292253
CaseKI67_0048,dark_zone,0.9297900262
CaseKI67_0048,mantle,0.1322790172
CaseKI67_0049,germinal_center,0.8531720220
CaseKI67_0049,light_zone,0.8012595409
CaseKI67_0049,dark_zone,0.9426986199
CaseKI67_0049,mantle,0.1356921011
CaseKI67_0050,germinal_center,0.8260599129
CaseKI67_0050,light_zone,0.7693032015
CaseKI67_0050,dark_zone,0.9347870114
CaseKI67_0050,mantle,0.1228474958
CaseKI67_0051,germinal_center,0.8363151689
CaseKI67_0051,light_zone,0.7143820604
CaseKI67_0051,dark_zone,0.9203535054
CaseKI67_0051,mantle,0.1348284248
CaseKI67_0052,germinal_center,0.8204186204
CaseKI67_0052,light_zone,0.7408243081
CaseKI67_0052,dark_zone,0.8958770091
CaseKI67_0052,mantle,0.1516634051
CaseKI67_0053,germinal_center,0.7418254430
CaseKI67_0053,light_zone,0.6885301937
