Image,Parent,DAB: Mean
CaseKI67_0074.ndpi,Annotation (mantle),0.1029
CaseKI67_0074.ndpi,Annotation (mantle),0.7261
CaseKI67_0074.ndpi,Annotation (mantle),0.3213
CaseKI67_0074.ndpi,Annotation (mantle),0.1118
CaseKI67_0074.ndpi,Annotation (mantle),0.1028
CaseKI67_0074.ndpi,Annotation (mantle),1.1609
CaseKI67_0074.ndpi,Annotation (mantle),0.1539
CaseKI67_0074.ndpi,Annotation (mantle),0.5128
CaseKI67_0074.ndpi,Annotation (mantle),0.0607
CaseKI67_0074.ndpi,Annotation (mantle),0.1245
CaseKI67_0074.ndpi,Annotation (mantle),0.3027
CaseKI67_0074.ndpi,Annotation (mantle),1.2979
CaseKI67_0074.ndpi,Annotation (mantle),0.0473
CaseKI67_0074.ndpi,Annotation (mantle),0.0881
CaseKI67_0074.ndpi,Annotation (mantle),0.1733
CaseKI67_0074.ndpi,Annotation (mantle),0.903
CaseKI67_0074.ndpi,Annotation (mantle),0.0903
CaseKI67_0074.ndpi,Annotation (mantle),0.1092
CaseKI67_0074.ndpi,Annotation (mantle),0.1296
CaseKI67_0074.ndpi,Annotation (mantle),0.109
CaseKI67_0074.ndpi,Annotation (mantle),0.1034
CaseKI67_0074.ndpi,Annotation (mantle),0.1165
CaseKI67_0074.ndpi,Annotation (mantle),0.209
CaseKI67_0074.ndpi,Annotation (mantle),0.4259
CaseKI67_0074.ndpi,Annotation (mantle),0.1041
CaseKI67_0074.ndpi,Annotation (mantle),0.131
CaseKI67_0074.ndpi,Annotation (mantle),0.1411
CaseKI67_0074.ndpi,Annotation (mantle),0.2034
CaseKI67_0074.ndpi,Annotation (mantle),0.56
CaseKI67_0074.ndpi,Annotation (mantle),0.1291
CaseKI67_0074.ndpi,Annotation (mantle),0.1162
CaseKI67_0074.ndpi,Annotation (mantle),0.0863
CaseKI67_0074.ndpi,Annotation (mantle),0.0861
CaseKI67_0074.ndpi,Annotation (mantle),0.3622
CaseKI67_0074.ndpi,Annotation (mantle),0.0828
CaseKI67_0074.ndpi,Annotation (mantle),0.4343
CaseKI67_0074.ndpi,Annotation (mantle),0.0928
CaseKI67_0074.ndpi,Annotation (mantle),0.152
CaseKI67_0074.ndpi,Annotation (mantle),0.1499
CaseKI67_0074.ndpi,Annotation (mantle),0.1243
CaseKI67_0074.ndpi,Annotation (mantle),0.1209
CaseKI67_0074.ndpi,Annotation (mantle),0.0928
CaseKI67_0074.ndpi,Annotation (mantle),0.2467
CaseKI67_0074.ndpi,Annotation (mantle),0.0909
CaseKI67_0074.ndpi,Annotation (mantle),0.0783
CaseKI67_0074.ndpi,Annotation (mantle),0.1018
CaseKI67_0074.ndpi,Annotation (mantle),1.07
CaseKI67_0074.ndpi,Annotation (mantle),0.0956
CaseKI67_0074.ndpi,Annotation (mantle),0.0871
CaseKI67_0074.ndpi,Annotation (mantle),0.6717
CaseKI67_0074.ndpi,Annotation (mantle),0.1093
CaseKI67_0074.ndpi,Annotation (mantle),1.3087
CaseKI67_0074.ndpi,Annotation (mantle),0.095
CaseKI67_0074.ndpi,Annotation (mantle),0.07
CaseKI67_0074.ndpi,Annotation (mantle),1.2003
CaseKI67_0074.ndpi,Annotation (mantle),0.1547
CaseKI67_0074.ndpi,Annotation (mantle),0.7874
CaseKI67_0074.ndpi,Annotation (mantle),0.8868
CaseKI67_0074.ndpi,Annotation (mantle),0.3493
CaseKI67_0074.ndpi,Annotation (mantle),0.089
CaseKI67_0074.ndpi,Annotation (mantle),0.1232
CaseKI67_0074.ndpi,Annotation (mantle),0.0839
CaseKI67_0074.ndpi,Annotation (mantle),0.1027
CaseKI67_0074.ndpi,Annotation (mantle),0.0581
CaseKI67_0074.ndpi,Annotation (mantle),0.1379
CaseKI67_0074.ndpi,Annotation (mantle),
CaseKI67_0074.ndpi,Annotation (mantle),0.0835
CaseKI67_0074.ndpi,Annotation (mantle),0.0861
CaseKI67_0074.ndpi,Annotation (mantle),0.1191
CaseKI67_0074.ndpi,Annotation (mantle),0.1199
CaseKI67_0074.ndpi,Annotation (mantle),0.1246
CaseKI67_0074.ndpi,Annotation (mantle),0.1052
CaseKI67_0074.ndpi,Annotation (mantle),0.1261
CaseKI67_0074.ndpi,Annotation (mantle),0.0598
CaseKI67_0074.ndpi,Annotation (mantle),0.1034
CaseKI67_0074.ndpi,Annotation (mantle),0.2749
CaseKI67_0074.ndpi,Annotation (mantle),0.1088
CaseKI67_0074.ndpi,Annotation (mantle),0.0773
CaseKI67_0074.ndpi,Annotation (mantle),0.0991
CaseKI67_0074.ndpi,Annotation (mantle),0.136
CaseKI67_0074.ndpi,Annotation (mantle),0.1303
CaseKI67_0074.ndpi,Annotation (mantle),0.1208
