Image,Parent,DAB: Mean
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1865
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1653
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.2227
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1324
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1696
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1887
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.2113
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1643
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1176
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1515
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1343
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1498
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1728
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1447
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1583
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1542
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1297
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1366
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.158
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1591
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1113
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1624
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1481
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1402
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1306
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1201
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1213
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1617
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1386
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1427
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1289
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1544
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.172
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1435
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1465
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1506
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1672
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1429
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1165
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1499
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1567
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.3964
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.155
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.118
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.3394
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1292
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1211
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1346
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1459
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1484
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1439
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1452
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1192
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1504
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.116
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0973
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1532
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.133
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1566
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1449
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1239
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1392
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0795
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1861
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1411
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0632
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.077
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0565
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0856
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0993
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0766
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0669
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1246
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1733
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1545
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1848
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0746
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0721
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1026
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1298
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0828
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1277
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0818
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0864
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0724
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0681
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.058
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1486
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1291
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0921
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0585
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0867
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1027
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0957
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1084
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1208
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1023
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1248
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1626
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0765
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1765
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1113
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1289
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1649
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0967
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1116
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.093
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1118
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0933
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0764
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1143
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.08
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0945
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0754
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0835
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0768
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.2081
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0856
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1429
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0536
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1044
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0891
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.09
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1024
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0477
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1479
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0948
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.142
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0843
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0816
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1637
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.085
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1857
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1044
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1312
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1189
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.134
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1445
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1171
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.091
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0986
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1429
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1145
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1309
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1635
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1031
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1113
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1065
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1786
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0906
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0736
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.2388
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1032
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0891
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.059
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.0968
KI67 1 in 125 run6.ndpi,Annotation (germinal_center),0.1745
