Image,Parent,DAB: Mean
KI67 negative run6.ndpi,Annotation (germinal_center),0.0371
KI67 negative run6.ndpi,Annotation (germinal_center),0.0394
KI67 negative run6.ndpi,Annotation (germinal_center),0.0478
KI67 negative run6.ndpi,Annotation (germinal_center),0.0445
KI67 negative run6.ndpi,Annotation (germinal_center),0.0463
KI67 negative run6.ndpi,Annotation (germinal_center),0.0322
KI67 negative run6.ndpi,Annotation (germinal_center),0.0663
KI67 negative run6.ndpi,Annotation (germinal_center),0.0377
KI67 negative run6.ndpi,Annotation (germinal_center),0.0422
KI67 negative run6.ndpi,Annotation (germinal_center),0.0458
KI67 negative run6.ndpi,Annotation (germinal_center),0.048
KI67 negative run6.ndpi,Annotation (germinal_center),0.0477
KI67 negative run6.ndpi,Annotation (germinal_center),0.0358
KI67 negative run6.ndpi,Annotation (germinal_center),0.0532
KI67 negative run6.ndpi,Annotation (germinal_center),0.0335
KI67 negative run6.ndpi,Annotation (germinal_center),0.067
KI67 negative run6.ndpi,Annotation (germinal_center),0.0442
KI67 negative run6.ndpi,Annotation (germinal_center),0.0583
KI67 negative run6.ndpi,Annotation (germinal_center),0.0463
KI67 negative run6.ndpi,Annotation (germinal_center),0.0321
KI67 negative run6.ndpi,Annotation (germinal_center),0.0443
KI67 negative run6.ndpi,Annotation (germinal_center),0.052
KI67 negative run6.ndpi,Annotation (germinal_center),0.0402
KI67 negative run6.ndpi,Annotation (germinal_center),0.0345
KI67 negative run6.ndpi,Annotation (germinal_center),0.0386
KI67 negative run6.ndpi,Annotation (germinal_center),0.0537
KI67 negative run6.ndpi,Annotation (germinal_center),0.0289
KI67 negative run6.ndpi,Annotation (germinal_center),0.0423
KI67 negative run6.ndpi,Annotation (germinal_center),0.0397
KI67 negative run6.ndpi,Annotation (germinal_center),0.0475
KI67 negative run6.ndpi,Annotation (germinal_center),0.0476
KI67 negative run6.ndpi,Annotation (germinal_center),0.0436
KI67 negative run6.ndpi,Annotation (germinal_center),0.0378
KI67 negative run6.ndpi,Annotation (germinal_center),0.0536
KI67 negative run6.ndpi,Annotation (germinal_center),0.0424
KI67 negative run6.ndpi,Annotation (germinal_center),0.0426
KI67 negative run6.ndpi,Annotation (germinal_center),0.0491
KI67 negative run6.ndpi,Annotation (germinal_center),0.0417
KI67 negative run6.ndpi,Annotation (germinal_center),0.0591
KI67 negative run6.ndpi,Annotation (germinal_center),0.0508
KI67 negative run6.ndpi,Annotation (germinal_center),0.0505
KI67 negative run6.ndpi,Annotation (germinal_center),0.0444
KI67 negative run6.ndpi,Annotation (germinal_center),0.0528
KI67 negative run6.ndpi,Annotation (germinal_center),0.0442
KI67 negative run6.ndpi,Annotation (germinal_center),0.0397
KI67 negative run6.ndpi,Annotation (germinal_center),0.0494
KI67 negative run6.ndpi,Annotation (germinal_center),0.0477
KI67 negative run6.ndpi,Annotation (germinal_center),0.0542
KI67 negative run6.ndpi,Annotation (germinal_center),0.0616
KI67 negative run6.ndpi,Annotation (germinal_center),0.0565
KI67 negative run6.ndpi,Annotation (germinal_center),0.0627
KI67 negative run6.ndpi,Annotation (germinal_center),0.0511
KI67 negative run6.ndpi,Annotation (germinal_center),0.0666
KI67 negative run6.ndpi,Annotation (germinal_center),0.0535
KI67 negative run6.ndpi,Annotation (germinal_center),0.0523
KI67 negative run6.ndpi,Annotation (germinal_center),0.0401
KI67 negative run6.ndpi,Annotation (germinal_center),0.0428
KI67 negative run6.ndpi,Annotation (germinal_center),0.0428
KI67 negative run6.ndpi,Annotation (germinal_center),0.0481
KI67 negative run6.ndpi,Annotation (germinal_center),0.0596
KI67 negative run6.ndpi,Annotation (germinal_center),0.0588
KI67 negative run6.ndpi,Annotation (germinal_center),0.0417
KI67 negative run6.ndpi,Annotation (germinal_center),0.0461
KI67 negative run6.ndpi,Annotation (germinal_center),0.0586
KI67 negative run6.ndpi,Annotation (germinal_center),0.0547
KI67 negative run6.ndpi,Annotation (germinal_center),0.0423
KI67 negative run6.ndpi,Annotation (germinal_center),0.0553
KI67 negative run6.ndpi,Annotation (germinal_center),0.0491
KI67 negative run6.ndpi,Annotation (germinal_center),0.045
KI67 negative run6.ndpi,Annotation (germinal_center),0.0388
KI67 negative run6.ndpi,Annotation (germinal_center),0.0375
KI67 negative run6.ndpi,Annotation (germinal_center),0.043
KI67 negative run6.ndpi,Annotation (germinal_center),0.0338
KI67 negative run6.ndpi,Annotation (germinal_center),0.043
KI67 negative run6.ndpi,Annotation (germinal_center),0.0533
KI67 negative run6.ndpi,Annotation (germinal_center),0.0562
KI67 negative run6.ndpi,Annotation (germinal_center),0.0428
KI67 negative run6.ndpi,Annotation (germinal_center),0.0416
KI67 negative run6.ndpi,Annotation (germinal_center),0.0681
KI67 negative run6.ndpi,Annotation (germinal_center),0.0486
KI67 negative run6.ndpi,Annotation (germinal_center),0.0422
KI67 negative run6.ndpi,Annotation (germinal_center),0.052
KI67 negative run6.ndpi,Annotation (germinal_center),0.0579
KI67 negative run6.ndpi,Annotation (germinal_center),0.066
KI67 negative run6.ndpi,Annotation (germinal_center),0.0527
KI67 negative run6.ndpi,Annotation (germinal_center),0.0584
KI67 negative run6.ndpi,Annotation (germinal_center),0.0516
KI67 negative run6.ndpi,Annotation (germinal_center),0.0415
KI67 negative run6.ndpi,Annotation (germinal_center),0.0444
KI67 negative run6.ndpi,Annotation (germinal_center),0.0535
KI67 negative run6.ndpi,Annotation (germinal_center),0.0424
KI67 negative run6.ndpi,Annotation (germinal_center),0.0497
KI67 negative run6.ndpi,Annotation (germinal_center),0.0737
KI67 negative run6.ndpi,Annotation (germinal_center),0.0495
KI67 negative run6.ndpi,Annotation (germinal_center),0.0482
KI67 negative run6.ndpi,Annotation (germinal_center),0.0543
KI67 negative run6.ndpi,Annotation (germinal_center),0.0429
KI67 negative run6.ndpi,Annotation (germinal_center),0.0644
KI67 negative run6.ndpi,Annotation (germinal_center),0.0364
KI67 negative run6.ndpi,Annotation (germinal_center),0.0625
KI67 negative run6.ndpi,Annotation (germinal_center),0.0404
KI67 negative run6.ndpi,Annotation (germinal_center),0.0385
KI67 negative run6.ndpi,Annotation (germinal_center),0.0511
KI67 negative run6.ndpi,Annotation (germinal_center),0.0447
KI67 negative run6.ndpi,Annotation (germinal_center),0.0415
KI67 negative run6.ndpi,Annotation (germinal_center),0.0511
KI67 negative run6.ndpi,Annotation (germinal_center),0.039
KI67 negative run6.ndpi,Annotation (germinal_center),0.0595
KI67 negative run6.ndpi,Annotation (germinal_center),0.0453
KI67 negative run6.ndpi,Annotation (germinal_center),0.0538
KI67 negative run6.ndpi,Annotation (germinal_center),0.035
KI67 negative run6.ndpi,Annotation (germinal_center),0.0472
KI67 negative run6.ndpi,Annotation (germinal_center),0.0487
KI67 negative run6.ndpi,Annotation (germinal_center),0.0656
KI67 negative run6.ndpi,Annotation (germinal_center),0.061
KI67 negative run6.ndpi,Annotation (germinal_center),0.0469
