Slide, Region, Positive, Count, Positivity
KI67 1 in 2 run5,germinal_center,16953,21647,0.7831570194
KI67 1 in 2 run5,light_zone,9451,12913,0.7318980872
KI67 1 in 2 run5,dark_zone,5847,6529,0.8955429622
KI67 1 in 2 run5,mantle,0,0,0
KI67 1 in 25 run5,germinal_center,8052,11788,0.6830675263
KI67 1 in 25 run5,light_zone,4945,7933,0.6233455187
KI67 1 in 25 run5,dark_zone,1643,1811,0.9072335726
KI67 1 in 25 run5,mantle,0,0,0
KI67 3 in 4 run5,germinal_center,16659,18299,0.9103776163
KI67 3 in 4 run5,light_zone,8723,9843,0.8862135528
KI67 3 in 4 run5,dark_zone,6451,6769,0.9530211257
KI67 3 in 4 run5,mantle,0,0,0
KI67 negative run5,germinal_center,42,22761,0.0018452616
KI67 negative run5,light_zone,0,0,0
KI67 negative run5,dark_zone,0,0,0
KI67 negative run5,mantle,0,0,0
KI67 4 in 25 run5,germinal_center,17793,24050,0.7398336798
KI67 4 in 25 run5,light_zone,9667,13527,0.7146447845
KI67 4 in 25 run5,dark_zone,7010,8474,0.8272362521
KI67 4 in 25 run5,mantle,0,0,0
KI67 1 in 200 run5,germinal_center,202,24952,0.0080955434
KI67 1 in 200 run5,light_zone,0,0,0
KI67 1 in 200 run5,dark_zone,0,0,0
KI67 1 in 200 run5,mantle,0,0,0
KI67 1 in 1 run5,germinal_center,17444,20968,0.8319343762
KI67 1 in 1 run5,light_zone,9716,12229,0.7945048655
KI67 1 in 1 run5,dark_zone,5131,5549,0.9246711119
KI67 1 in 1 run5,mantle,0,0,0
KI67 1 in 5 run5,germinal_center,9807,12433,0.7887879032
KI67 1 in 5 run5,light_zone,4954,6779,0.7307862517
KI67 1 in 5 run5,dark_zone,3185,3474,0.9168105930
KI67 1 in 5 run5,mantle,0,0,0
KI67 1 in 100 run5,germinal_center,652,24508,0.0266035580
KI67 1 in 100 run5,light_zone,0,0,0
KI67 1 in 100 run5,dark_zone,0,0,0
KI67 1 in 100 run5,mantle,0,0,0
KI67 3 in 50 run5,germinal_center,0,0,0
KI67 3 in 50 run5,light_zone,0,0,0
KI67 3 in 50 run5,dark_zone,0,0,0
KI67 3 in 50 run5,mantle,0,0,0
KI67 2 in 25 run5,germinal_center,12600,17971,0.7011295977
KI67 2 in 25 run5,light_zone,6770,10868,0.6229297019
