Image,Parent,DAB: Mean
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0063
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0207
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.019
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0192
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.033
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0279
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0287
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0231
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0126
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0021
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0363
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0211
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0247
KI67 1 in 100 run4.ndpi,Annotation (mantle),
KI67 1 in 100 run4.ndpi,Annotation (mantle),0.6532
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0246
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.024
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0159
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0231
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0122
KI67 1 in 100 run4.ndpi,Annotation (mantle),0.0976
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0165
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0175
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0266
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0226
KI67 1 in 100 run4.ndpi,Annotation (mantle),0.0117
KI67 1 in 100 run4.ndpi,Annotation (mantle),0.3247
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0063
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0268
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0336
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.027
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0304
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0199
KI67 1 in 100 run4.ndpi,Annotation (mantle),0.0116
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0164
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0314
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.029
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0319
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0346
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0421
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.024
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0337
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0321
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0133
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0203
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0379
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.027
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0248
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0333
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0248
KI67 1 in 100 run4.ndpi,Annotation (mantle),0.0351
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.035
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0418
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.04
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0183
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0291
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0481
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0256
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0276
KI67 1 in 100 run4.ndpi,Annotation (mantle),0.4667
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0327
KI67 1 in 100 run4.ndpi,Annotation (mantle),0.6866
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0254
KI67 1 in 100 run4.ndpi,Annotation (mantle),0.0013
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0167
KI67 1 in 100 run4.ndpi,Annotation (mantle),0.0045
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0256
KI67 1 in 100 run4.ndpi,Annotation (mantle),0.1987
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0363
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0273
KI67 1 in 100 run4.ndpi,Annotation (mantle),0.0049
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0252
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0271
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0324
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0269
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0135
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0181
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0234
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0331
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0215
KI67 1 in 100 run4.ndpi,Annotation (mantle),0.0069
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0207
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0298
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.035
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0348
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0324
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.021
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0294
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0176
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0372
KI67 1 in 100 run4.ndpi,Annotation (mantle),0.0128
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0343
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0258
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0162
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0412
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0306
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0286
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0171
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0214
KI67 1 in 100 run4.ndpi,Annotation (mantle),-0.0394
